city,country,population,latitude,longitude,region,continent
Kuala Lumpur,Malaysia,1453978,3.166667,101.7,South-Eastern Asia,Asia
Klang,Malaysia,879887,3.033333,101.45,South-Eastern Asia,Asia
Johor Bahru,Malaysia,802525,1.4655,103.7578,South-Eastern Asia,Asia
Ipoh,Malaysia,673346,4.5841,101.0829,South-Eastern Asia,Asia
Kuching,Malaysia,570579,1.55,110.333333,South-Eastern Asia,Asia
Petaling Jaya,Malaysia,520712,3.083333,101.65,South-Eastern Asia,Asia
Shah Alam,Malaysia,481670,3.083333,101.533333,South-Eastern Asia,Asia
Kota Kinabalu,Malaysia,457375,5.9749,116.0724,South-Eastern Asia,Asia
Sandakan,Malaysia,392332,5.8402,118.1179,South-Eastern Asia,Asia
Seremban,Malaysia,372931,2.7297,101.9381,South-Eastern Asia,Asia
Kuantan,Malaysia,366253,3.8077,103.326,South-Eastern Asia,Asia
Tawau,Malaysia,306497,4.2498,117.8871,South-Eastern Asia,Asia
Kuala Terengganu,Malaysia,285091,5.3302,103.1408,South-Eastern Asia,Asia
Kota Bahru,Malaysia,279343,6.133275,102.238603,South-Eastern Asia,Asia
Sungai Petani,Malaysia,228898,5.646997,100.487724,South-Eastern Asia,Asia
Miri,Malaysia,228227,4.4148,114.0089,South-Eastern Asia,Asia
Taiping,Malaysia,217658,4.85,100.733333,South-Eastern Asia,Asia
Alor Setar,Malaysia,217378,6.121045,100.360137,South-Eastern Asia,Asia
Bukit Mertajam,Malaysia,212387,5.363014,100.466701,South-Eastern Asia,Asia
Sibu,Malaysia,198252,2.3,111.816667,South-Eastern Asia,Asia
Melaka,Malaysia,180675,2.196,102.2405,South-Eastern Asia,Asia
Kulim,Malaysia,170931,5.364991,100.561773,South-Eastern Asia,Asia
Kluang,Malaysia,169838,2.0251,103.3328,South-Eastern Asia,Asia
Sekudai,Malaysia,159864,1.533333,103.666667,South-Eastern Asia,Asia
Bandar Penggaram,Malaysia,156245,1.8548,102.9325,South-Eastern Asia,Asia
Bintulu,Malaysia,151718,3.166667,113.033333,South-Eastern Asia,Asia
Pasir Gudang,Malaysia,145739,1.462,103.9053,South-Eastern Asia,Asia
Bandar Maharani,Malaysia,127905,2.0442,102.5689,South-Eastern Asia,Asia
Rawang,Malaysia,120484,3.3213,101.5767,South-Eastern Asia,Asia
Ayer Itam,Malaysia,115276,5.4,100.283333,South-Eastern Asia,Asia
Butterworth,Malaysia,107597,5.399102,100.363818,South-Eastern Asia,Asia
Lahad Datu,Malaysia,105635,5.0268,118.327,South-Eastern Asia,Asia
Port Dickson,Malaysia,89203,2.5228,101.7959,South-Eastern Asia,Asia
Cukai,Malaysia,82434,4.25,103.416667,South-Eastern Asia,Asia
Semenyih,Malaysia,80576,2.9516,101.843,South-Eastern Asia,Asia
Putatan,Malaysia,78340,5.8947,116.0464,South-Eastern Asia,Asia
Keningau,Malaysia,77703,5.3378,116.1602,South-Eastern Asia,Asia
Banting,Malaysia,75467,2.816667,101.5,South-Eastern Asia,Asia
Ulu Tiram,Malaysia,75396,1.5999,103.8214,South-Eastern Asia,Asia
Labuan,Malaysia,73664,5.276667,115.241667,South-Eastern Asia,Asia
Senai,Malaysia,73201,1.6006,103.6419,South-Eastern Asia,Asia
Segamat,Malaysia,69821,2.5148,102.8158,South-Eastern Asia,Asia
Perai,Malaysia,65322,5.381365,100.389691,South-Eastern Asia,Asia
Kangar,Malaysia,63894,6.4414,100.198619,South-Eastern Asia,Asia
Kulai,Malaysia,63765,1.6561,103.6032,South-Eastern Asia,Asia
Jitra,Malaysia,63492,6.268122,100.421668,South-Eastern Asia,Asia
Teluk Intan,Malaysia,63357,4.0259,101.0213,South-Eastern Asia,Asia
Semporna,Malaysia,62686,4.48178,118.611185,South-Eastern Asia,Asia
Temerloh,Malaysia,59942,3.4506,102.4176,South-Eastern Asia,Asia
Simpang Empat,Malaysia,58037,4.95,100.633333,South-Eastern Asia,Asia
Kuala Selangor,Malaysia,55896,3.35,101.25,South-Eastern Asia,Asia
Bukit Baru,Malaysia,55658,2.2102,102.2886,South-Eastern Asia,Asia
Kota Tinggi,Malaysia,52746,1.7381,103.8999,South-Eastern Asia,Asia
Pontian Kecil,Malaysia,50839,1.4866,103.3896,South-Eastern Asia,Asia
Bentong,Malaysia,49218,3.5316,101.9038,South-Eastern Asia,Asia
Bedong,Malaysia,47598,5.727435,100.508761,South-Eastern Asia,Asia
Batu Gajah,Malaysia,46197,4.469161,101.041069,South-Eastern Asia,Asia
Mentakab,Malaysia,42174,3.4854,102.3484,South-Eastern Asia,Asia
Nibong Tebal,Malaysia,40085,5.165862,100.477927,South-Eastern Asia,Asia
Raub,Malaysia,40027,3.7899,101.857,South-Eastern Asia,Asia
Lumut,Malaysia,39627,4.2323,100.6298,South-Eastern Asia,Asia
Kuala Kangsar,Malaysia,39333,4.766667,100.933333,South-Eastern Asia,Asia
Ayer Keroh,Malaysia,37717,2.2654,102.2801,South-Eastern Asia,Asia
Sungai Siput Utara,Malaysia,37202,4.8151,101.0786,South-Eastern Asia,Asia
