ISO_A3,gas,trend_type,score_type,score
ESP,co2,Long trend,Weighted,-9.50993904819
GBR,co2,Long trend,Weighted,1.9682553261965
PRT,co2,Long trend,Weighted,0.741557370736362
BES,co2,Long trend,Weighted,0
UKR,co2,Long trend,Weighted,-27.5366539557624
ZWE,co2,Long trend,Weighted,50.8982726366264
CHN,co2,Long trend,Weighted,4.7131535650952
JPN,co2,Long trend,Weighted,0.168478195153462
KOR,co2,Long trend,Weighted,-13.1481908287808
PRK,co2,Long trend,Weighted,4.54159389756071
RUS,co2,Long trend,Weighted,-3.97713966875307
IND,co2,Long trend,Weighted,-3.01792480605356
KAZ,co2,Long trend,Weighted,-1.23236580916005
KGZ,co2,Long trend,Weighted,-0.089653937302586
MMR,co2,Long trend,Weighted,-27.858102989626
MNG,co2,Long trend,Weighted,-5.39509098091808
VNM,co2,Long trend,Weighted,36.2358742334067
AFG,co2,Long trend,Weighted,-4.36163783479644
ARE,co2,Long trend,Weighted,17.0062882827581
AZE,co2,Long trend,Weighted,-5.52086386945652
BLR,co2,Long trend,Weighted,0.150798627513238
BTN,co2,Long trend,Weighted,8.77258434311933
GEO,co2,Long trend,Weighted,-30.6010988851387
IRN,co2,Long trend,Weighted,-2.53473580101998
LVA,co2,Long trend,Weighted,-9.47713521727532
MDA,co2,Long trend,Weighted,-2.87584889842509
NPL,co2,Long trend,Weighted,-9.58514166560841
OMN,co2,Long trend,Weighted,-6.49588008141472
PAK,co2,Long trend,Weighted,-7.38663022184091
ROU,co2,Long trend,Weighted,-5.46626322729534
TJK,co2,Long trend,Weighted,-1.68347178239665
TKM,co2,Long trend,Weighted,-3.71234914666999
TUR,co2,Long trend,Weighted,-2.78023175349238
UZB,co2,Long trend,Weighted,-7.56230667200989
ARM,co2,Long trend,Weighted,-17.3202852874594
BHR,co2,Long trend,Weighted,0
CYP,co2,Long trend,Weighted,-37.8109413439813
DJI,co2,Long trend,Weighted,-37.8579903624611
EGY,co2,Long trend,Weighted,-23.1460907256144
ERI,co2,Long trend,Weighted,-6.2943342807219
ETH,co2,Long trend,Weighted,-13.8901152182183
FIN,co2,Long trend,Weighted,-5.44264182317258
IRQ,co2,Long trend,Weighted,-4.97083145403533
ISR,co2,Long trend,Weighted,-64.9755719814888
JOR,co2,Long trend,Weighted,-17.0161157965544
KEN,co2,Long trend,Weighted,-5.5163950785638
KWT,co2,Long trend,Weighted,14.7316824959126
LBN,co2,Long trend,Weighted,-19.199740857765
NOR,co2,Long trend,Weighted,-0.145986887618806
PSE,co2,Long trend,Weighted,-3.53641922749257
QAT,co2,Long trend,Weighted,-0.019336274845507
SAU,co2,Long trend,Weighted,-20.8319386677092
SDN,co2,Long trend,Weighted,-58.9533709736986
SOM,co2,Long trend,Weighted,2.7450428941331
SSD,co2,Long trend,Weighted,-18.8787787805752
SYR,co2,Long trend,Weighted,-16.3467794858171
UGA,co2,Long trend,Weighted,-49.2252964466526
YEM,co2,Long trend,Weighted,-2.64342223996679
ATF,co2,Long trend,Weighted,0.872903526101297
BDI,co2,Long trend,Weighted,-26.2948330148317
COD,co2,Long trend,Weighted,-20.9566915887127
COM,co2,Long trend,Weighted,-22.2146304127842
DNK,co2,Long trend,Weighted,1.89819204539184
EST,co2,Long trend,Weighted,0.954240990859258
GRC,co2,Long trend,Weighted,-23.7279924038149
HMD,co2,Long trend,Weighted,
LKA,co2,Long trend,Weighted,-21.7145555190467
LSO,co2,Long trend,Weighted,-28.5195184490959
MDG,co2,Long trend,Weighted,-6.74560381286843
MDV,co2,Long trend,Weighted,100
MOZ,co2,Long trend,Weighted,1.46121520596197
MUS,co2,Long trend,Weighted,0
MWI,co2,Long trend,Weighted,-0.707710514063112
REU,co2,Long trend,Weighted,-11.3365482128372
RWA,co2,Long trend,Weighted,-3.67763768285612
SWE,co2,Long trend,Weighted,-9.28253667482056
SWZ,co2,Long trend,Weighted,-15.5252903212841
SYC,co2,Long trend,Weighted,-91.5085107441447
TZA,co2,Long trend,Weighted,-0.749470814345932
ZAF,co2,Long trend,Weighted,-13.6005587130173
ZMB,co2,Long trend,Weighted,3.72650292725377
ALA,co2,Long trend,Weighted,8.06982966983123
BGR,co2,Long trend,Weighted,-9.30820492150062
CZE,co2,Long trend,Weighted,10.6331919312757
LTU,co2,Long trend,Weighted,14.5826727066092
MYT,co2,Long trend,Weighted,-11.3365482128372
POL,co2,Long trend,Weighted,-10.9190102723694
SJM,co2,Long trend,Weighted,-2.81504974311117
SVK,co2,Long trend,Weighted,-3.68080625755586
ALB,co2,Long trend,Weighted,-27.4148381789589
AUT,co2,Long trend,Weighted,4.95681793356349
BEL,co2,Long trend,Weighted,-27.4720726890821
BIH,co2,Long trend,Weighted,-2.65307038861418
DEU,co2,Long trend,Weighted,-0.598112774716537
FRA,co2,Long trend,Weighted,-11.3365482128372
GGY,co2,Long trend,Weighted,0
HRV,co2,Long trend,Weighted,6.27789514602131
HUN,co2,Long trend,Weighted,-2.52647945142537
IMN,co2,Long trend,Weighted,0
IRL,co2,Long trend,Weighted,-36.397894486931
ITA,co2,Long trend,Weighted,7.6005060695771
JEY,co2,Long trend,Weighted,0
LUX,co2,Long trend,Weighted,-21.6330337697299
MKD,co2,Long trend,Weighted,-11.5496816305134
MNE,co2,Long trend,Weighted,-1.26720157095225
NLD,co2,Long trend,Weighted,-33.5263500171257
SRB,co2,Long trend,Weighted,7.3087921821726
SVN,co2,Long trend,Weighted,-12.1057758844259
XKX,co2,Long trend,Weighted,-2.23939910222852
AND,co2,Long trend,Weighted,0
CHE,co2,Long trend,Weighted,-5.4403126631828
DZA,co2,Long trend,Weighted,-5.15824082817903
FRO,co2,Long trend,Weighted,0
LBY,co2,Long trend,Weighted,-17.6418618684647
LIE,co2,Long trend,Weighted,0
MAR,co2,Long trend,Weighted,-13.0733671680072
MLT,co2,Long trend,Weighted,39.3140408800617
SMR,co2,Long trend,Weighted,100
TUN,co2,Long trend,Weighted,9.97433773148972
BEN,co2,Long trend,Weighted,-24.6908340370007
BFA,co2,Long trend,Weighted,-13.9609901519301
CAF,co2,Long trend,Weighted,-11.3792273413873
CIV,co2,Long trend,Weighted,-53.5534512660247
CMR,co2,Long trend,Weighted,-6.24597311300545
GHA,co2,Long trend,Weighted,-0.448989444548445
ISL,co2,Long trend,Weighted,13.4537919722328
MLI,co2,Long trend,Weighted,-19.1684292623104
NER,co2,Long trend,Weighted,-33.5298867816064
NGA,co2,Long trend,Weighted,-3.69362239703204
TCD,co2,Long trend,Weighted,-42.7463519394971
TGO,co2,Long trend,Weighted,27.6227245955622
USA,co2,Long trend,Weighted,-9.21968824614304
AGO,co2,Long trend,Weighted,-1.13420117518372
BWA,co2,Long trend,Weighted,78.6074244451459
COG,co2,Long trend,Weighted,-40.069097780138
GAB,co2,Long trend,Weighted,-5.90036961052974
GNQ,co2,Long trend,Weighted,-11.1669358489632
GRL,co2,Long trend,Weighted,12.7404839659907
LBR,co2,Long trend,Weighted,-14.4778880984849
NAM,co2,Long trend,Weighted,16.3028829209224
BRA,co2,Long trend,Weighted,-3.1745285629498
CPV,co2,Long trend,Weighted,-0.042537637400457
FJI,co2,Long trend,Weighted,-4.79617560270827
GIN,co2,Long trend,Weighted,-54.4810812452292
MRT,co2,Long trend,Weighted,-11.4594972115232
SHN,co2,Long trend,Weighted,-9.66516852710853
STP,co2,Long trend,Weighted,0
GMB,co2,Long trend,Weighted,-22.4464661176625
GNB,co2,Long trend,Weighted,-14.7334029749504
GUM,co2,Long trend,Weighted,98.992487384735
MNP,co2,Long trend,Weighted,66.7515387178372
PHL,co2,Long trend,Weighted,-1.15804761003907
SEN,co2,Long trend,Weighted,-21.5770985360833
SLE,co2,Long trend,Weighted,-24.032689348059
BGD,co2,Long trend,Weighted,-47.4227525172353
BRN,co2,Long trend,Weighted,0
HKG,co2,Long trend,Weighted,0
IDN,co2,Long trend,Weighted,-19.329353471048
KHM,co2,Long trend,Weighted,14.5741460116141
LAO,co2,Long trend,Weighted,4.17553306279386
MAC,co2,Long trend,Weighted,0
MYS,co2,Long trend,Weighted,20.8378237157369
PLW,co2,Long trend,Weighted,-44.2709745423495
THA,co2,Long trend,Weighted,12.6678356816085
TLS,co2,Long trend,Weighted,-8.58497223520155
AUS,co2,Long trend,Weighted,-5.70996902817691
NFK,co2,Long trend,Weighted,100
NZL,co2,Long trend,Weighted,1.49971886768524
PNG,co2,Long trend,Weighted,-8.16030239913877
SGP,co2,Long trend,Weighted,22.002901307114
VUT,co2,Long trend,Weighted,-14.2790627578463
AIA,co2,Long trend,Weighted,-100
ATG,co2,Long trend,Weighted,-43.996029446518
BMU,co2,Long trend,Weighted,0
BRB,co2,Long trend,Weighted,0
CAN,co2,Long trend,Weighted,-5.86019063125082
DMA,co2,Long trend,Weighted,0
DOM,co2,Long trend,Weighted,-18.2644819941794
FSM,co2,Long trend,Weighted,0
GLP,co2,Long trend,Weighted,-11.3365482128372
GRD,co2,Long trend,Weighted,0
GUF,co2,Long trend,Weighted,-11.3365482128372
GUY,co2,Long trend,Weighted,31.0217153983667
KNA,co2,Long trend,Weighted,-13.7829771237704
LCA,co2,Long trend,Weighted,0
MAF,co2,Long trend,Weighted,0
MTQ,co2,Long trend,Weighted,-11.3365482128372
NCL,co2,Long trend,Weighted,-11.1873151616395
PRI,co2,Long trend,Weighted,-23.8019177396161
SLB,co2,Long trend,Weighted,5.28122792666466
SPM,co2,Long trend,Weighted,-100
SUR,co2,Long trend,Weighted,-5.09872132056268
SXM,co2,Long trend,Weighted,0
TTO,co2,Long trend,Weighted,0.455706099480055
VCT,co2,Long trend,Weighted,0
VEN,co2,Long trend,Weighted,0.577996688577566
VGB,co2,Long trend,Weighted,-100
VIR,co2,Long trend,Weighted,-23.5427645507582
ABW,co2,Long trend,Weighted,0
BHS,co2,Long trend,Weighted,18.7817448442235
COL,co2,Long trend,Weighted,-6.16153859284173
CUB,co2,Long trend,Weighted,-21.5767447625353
CUW,co2,Long trend,Weighted,8.64442314431151
CYM,co2,Long trend,Weighted,0
HND,co2,Long trend,Weighted,7.46336135164444
HTI,co2,Long trend,Weighted,-36.9037754640354
JAM,co2,Long trend,Weighted,-21.0977095522608
NIC,co2,Long trend,Weighted,-2.67407067833533
SLV,co2,Long trend,Weighted,2.66417227319182
TCA,co2,Long trend,Weighted,0
BOL,co2,Long trend,Weighted,-2.85747286796452
CRI,co2,Long trend,Weighted,2.64519187506462
ECU,co2,Long trend,Weighted,-13.5421903981465
GTM,co2,Long trend,Weighted,-3.20912573208627
MEX,co2,Long trend,Weighted,-6.19843638448983
PAN,co2,Long trend,Weighted,8.23051456276344
PER,co2,Long trend,Weighted,26.3730192209196
BLZ,co2,Long trend,Weighted,14.0373976038371
ARG,co2,Long trend,Weighted,0.777418091406799
PRY,co2,Long trend,Weighted,17.7822940444179
ASM,co2,Long trend,Weighted,0
CHL,co2,Long trend,Weighted,-8.61134506342039
COK,co2,Long trend,Weighted,-99.9988861799537
KIR,co2,Long trend,Weighted,0
NIU,co2,Long trend,Weighted,0
PYF,co2,Long trend,Weighted,6.86688100551972
TON,co2,Long trend,Weighted,0
URY,co2,Long trend,Weighted,15.6783380930876
WLF,co2,Long trend,Weighted,98.1064049950929
WSM,co2,Long trend,Weighted,2.27135729111671
SGS,co2,Long trend,Weighted,31.8167375381124
ESH,co2,Long trend,Weighted,-1.19769612364418
FLK,co2,Long trend,Weighted,61.4829718523356
D01,co2,Long trend,Weighted,-6.04976689133732
D03,co2,Long trend,Weighted,0
D04,co2,Long trend,Weighted,-10.7774014965367
D05,co2,Long trend,Weighted,-1.98185750915806
D06,co2,Long trend,Weighted,0
D07,co2,Long trend,Weighted,0.002461428147727
D08,co2,Long trend,Weighted,0
D09,co2,Long trend,Weighted,-11.6013551435841
D10,co2,Long trend,Weighted,-2.46054167549415
D11,co2,Long trend,Weighted,-11.8952476839671
