COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,YEAR,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,Ozone
Mariposa,2015-2016,Total population,All ages,9.3,(4.1-14.6),2015,0.10884,0.02738,0.5799799999999999,0.22508,0.04566,0.027160000000000004,0.11252000000000001,0.23378,0.36938000000000004,0.47618000000000005,0.18173999999999998,0.61076,0.93998,47.42857142857143
Mariposa,2015-2016,Total population,All ages,9.3,(4.1-14.6),2016,0.10279166666666667,0.0343125,0.4761666666666667,0.18477083333333333,0.0541875,0.025291666666666667,0.09877083333333332,0.20497916666666668,0.25795833333333335,0.44306249999999997,0.169125,0.5347708333333333,0.7265416666666668,46.0
San Benito,2015-2016,Total population,All ages,5.3,(1.0-9.6),2015,0.14001960784313724,0.5121372549019608,0.5776666666666667,0.22415686274509805,0.06276470588235294,0.08607843137254902,0.5698235294117647,0.18237254901960784,0.8007843137254903,0.38888235294117646,0.14841176470588235,0.774235294117647,1.3690980392156862,51.095238095238095
San Benito,2015-2016,Total population,All ages,5.3,(1.0-9.6),2016,0.14883018867924527,0.5716792452830188,0.4618867924528302,0.1792641509433962,0.07620754716981132,0.08686792452830189,0.5688301886792453,0.14867924528301887,0.6722641509433963,0.3354905660377358,0.1280566037735849,0.6954150943396227,1.126754716981132,56.5
San Bernardino,2015-2016,Total population,All ages,10.6,(7.5-13.8),2015,0.24356000000000003,0.050359999999999995,1.3244,0.5139199999999999,0.047939999999999997,0.04718,0.21533999999999998,0.26830000000000004,0.70896,0.44932,0.17149999999999999,0.77964,2.0121800000000003,65.83333333333333
San Bernardino,2015-2016,Total population,All ages,10.6,(7.5-13.8),2016,0.30682692307692305,0.07725000000000001,1.2181538461538461,0.4726730769230769,0.05840384615384615,0.05161538461538462,0.22899999999999998,0.24415384615384614,0.7156923076923077,0.4554423076923077,0.17382692307692307,0.7163076923076923,1.914403846153846,63.23255813953488
Shasta,2015-2016,Total population,All ages,7.3,(3.1-11.6),2015,0.0601,0.024620000000000003,0.26105999999999996,0.10134,0.02972,0.01618,0.0687,0.1535,0.16954,0.27086,0.10332000000000001,0.38545999999999997,0.42635999999999996,43.095238095238095
Shasta,2015-2016,Total population,All ages,7.3,(3.1-11.6),2016,0.04758333333333333,0.026833333333333334,0.2129375,0.08264583333333334,0.024354166666666666,0.014,0.06335416666666667,0.10783333333333334,0.13058333333333333,0.26391666666666663,0.10070833333333333,0.28097916666666667,0.34008333333333335,35.63414634146341
Tulare,2015-2016,Total population,All ages,8.6,(4.3-12.9),2015,0.2453469387755102,0.044408163265306125,1.5207346938775512,0.5900408163265306,0.10430612244897959,0.05448979591836735,0.20522448979591834,0.6191428571428572,1.3102857142857145,0.9201836734693877,0.35114285714285715,1.2024897959183674,2.8068979591836736,53.88636363636363
Tulare,2015-2016,Total population,All ages,8.6,(4.3-12.9),2016,0.2191132075471698,0.04784905660377359,1.1638301886792453,0.4515849056603774,0.11260377358490566,0.05041509433962264,0.17769811320754716,0.48245283018867924,0.9262641509433962,0.8549245283018868,0.3262264150943396,1.0107924528301888,2.071509433962264,62.851851851851855
San Bernardino,2015-2016,Child vs. adult,0-17 years,11.8,(2.1-21.6),2015,0.24356000000000003,0.050359999999999995,1.3244,0.5139199999999999,0.047939999999999997,0.04718,0.21533999999999998,0.26830000000000004,0.70896,0.44932,0.17149999999999999,0.77964,2.0121800000000003,65.83333333333333
