COUNTY,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
San Bernardino,1,2016,1/5/2016 8:00,0.188,0.046,0.54,0.21,0.068,0.02,0.053,0.3,0.745,0.297,0.113,0.522,1.276,12/29/2015
San Bernardino,1,2017,1/10/2017 8:00,0.172,0.141,0.459,0.178,0.028,0.034,0.203,0.057,0.39,0.32,0.122,0.328,0.842,1/3/2017
San Bernardino,1,2018,1/9/2018 8:00,0.176,0.017,1.052,0.408,0.032,0.021,0.036,0.133,0.53,0.194,0.074,0.238,1.566,1/2/2018
San Bernardino,1,2019,1/8/2019 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,1/1/2019
San Bernardino,1,2020,1/7/2020 8:00,0.048,0.008,0.489,0.19,0.019,0.011,0.058,0.067,0.202,0.113,0.043,0.223,0.683,12/31/2019
San Bernardino,1,2021,1/5/2021 8:00,0.21,0.033,0.589,0.229,0.026,0.021,0.097,0.064,0.298,0.12,0.046,0.229,0.877,12/29/2020
San Bernardino,1,2022,1/11/2022 8:00,0.126,0.015,1.267,0.492,0.02,0.012,0.033,0.082,0.272,0.156,0.06,0.153,1.519,1/4/2022
San Bernardino,2,2015,1/13/2015 8:00:00 AM,0.215,0.015,1.023,0.397,0.034,0.018,0.05,0.405,1.151,0.389,0.148,0.682,2.158,1/6/2015
San Bernardino,2,2016,1/12/2016 8:00,0.028,0.015,0.65,0.252,0.011,0.012,0.087,0.221,0.841,0.283,0.108,0.164,1.481,1/5/2016
San Bernardino,2,2017,1/17/2017 8:00:00 AM,0.119,0.066,0.461,0.179,0.029,0.024,0.148,0.096,0.383,0.251,0.096,0.31,0.837,1/10/2017
San Bernardino,2,2018,1/16/2018 8:00:00 AM,0.081,0.015,1.163,0.451,0.015,0.009,0.018,0.082,0.145,0.167,0.064,0.155,1.289,1/9/2018
San Bernardino,2,2019,1/15/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/8/2019
San Bernardino,2,2020,1/14/2020 8:00:00 AM,0.178,0.027,1.207,0.468,0.032,0.033,0.239,0.241,1.14,0.344,0.131,0.531,2.327,1/7/2020
San Bernardino,2,2021,1/12/2021 8:00,0.21,0.033,0.588,0.228,0.026,0.021,0.097,0.064,0.298,0.12,0.046,0.229,0.876,1/5/2021
San Bernardino,2,2022,1/18/2022 8:00:00 AM,0.133,0.015,0.413,0.16,0.015,0.015,0.03,0.081,0.207,0.137,0.052,0.142,0.614,1/11/2022
San Bernardino,3,2015,1/20/2015 8:00:00 AM,0.069,0.015,0.586,0.227,0.01,0.006,0.013,0.093,0.099,0.309,0.118,0.208,0.676,1/13/2015
San Bernardino,3,2016,1/19/2016 8:00:00 AM,0.084,0.016,1.28,0.497,0.018,0.017,0.102,0.138,0.614,0.217,0.083,0.248,1.873,1/12/2016
San Bernardino,3,2017,1/24/2017 8:00:00 AM,0.039,0.299,0.527,0.204,0.018,0.038,0.306,0.063,0.543,0.309,0.118,0.238,1.062,1/17/2017
San Bernardino,3,2018,1/23/2018 8:00:00 AM,0.115,0.03,1.203,0.467,0.023,0.02,0.09,0.082,0.368,0.166,0.063,0.216,1.552,1/16/2018
San Bernardino,3,2019,1/22/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/15/2019
San Bernardino,3,2020,1/21/2020 8:00:00 AM,0.113,0.015,1.25,0.485,0.026,0.016,0.088,0.114,0.386,0.174,0.066,0.306,1.616,1/14/2020
San Bernardino,3,2021,1/19/2021 8:00:00 AM,0.235,0.017,0.407,0.158,0.023,0.024,0.049,0.051,0.108,0.153,0.058,0.179,0.508,1/12/2021
San Bernardino,3,2022,1/25/2022 8:00:00 AM,0.308,0.027,0.507,0.197,0.047,0.037,0.099,0.107,0.221,0.205,0.078,0.289,0.72,1/18/2022
San Bernardino,4,2015,1/27/2015 8:00:00 AM,0.154,0.015,0.413,0.16,0.024,0.018,0.058,0.044,0.146,0.219,0.084,0.247,0.552,1/20/2015
San Bernardino,4,2016,1/26/2016 8:00:00 AM,0.054,0.02,0.936,0.363,0.013,0.009,0.04,0.091,0.202,0.269,0.103,0.201,1.123,1/19/2016
San Bernardino,4,2017,1/31/2017 8:00:00 AM,0.05,0.022,0.379,0.147,0.013,0.008,0.042,0.056,0.107,0.31,0.118,0.158,0.48,1/24/2017
San Bernardino,4,2018,1/30/2018 8:00:00 AM,0.129,0.026,0.573,0.222,0.025,0.019,0.07,0.061,0.217,0.17,0.065,0.207,0.781,1/23/2018
San Bernardino,4,2019,1/29/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/22/2019
San Bernardino,4,2020,1/28/2020 8:00:00 AM,0.126,0.015,1.26,0.489,0.022,0.014,0.045,0.138,0.267,0.157,0.06,0.342,1.507,1/21/2020
San Bernardino,4,2021,1/26/2021 8:00:00 AM,0.266,0.126,0.274,0.106,0.045,0.043,0.158,0.088,0.801,0.172,0.066,0.307,1.071,1/19/2021
San Bernardino,4,2022,2/1/2022 8:00,0.268,0.026,0.378,0.147,0.03,0.033,0.048,0.098,0.197,0.159,0.061,0.187,0.568,1/25/2022
San Bernardino,5,2015,2/3/2015 8:00,0.069,0.015,0.794,0.308,0.019,0.009,0.023,0.115,0.104,0.243,0.093,0.284,0.885,1/27/2015
San Bernardino,5,2016,2/2/2016 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,1/26/2016
San Bernardino,5,2017,2/7/2017 8:00,0.07,0.015,1.266,0.491,0.023,0.013,0.062,0.129,0.351,0.372,0.142,0.32,1.597,1/31/2017
San Bernardino,5,2018,2/6/2018 8:00,0.343,0.015,0.918,0.356,0.04,0.036,0.078,0.108,0.292,0.197,0.075,0.297,1.196,1/30/2018
San Bernardino,5,2019,2/5/2019 8:00,0.078,0.02,0.626,0.243,0.017,0.021,0.121,0.074,0.466,0.14,0.053,0.249,1.082,1/29/2019
San Bernardino,5,2020,2/4/2020 8:00,0.418,0.112,0.366,0.142,0.061,0.058,0.444,0.07,0.215,0.141,0.054,0.732,0.575,1/28/2020
San Bernardino,5,2021,2/2/2021 8:00,0.059,0.02,0.647,0.251,0.016,0.021,0.155,0.067,0.556,0.188,0.072,0.183,1.192,1/26/2021
San Bernardino,5,2022,2/8/2022 8:00,0.725,0.187,0.145,0.056,0.079,0.085,0.276,0.099,0.279,0.162,0.062,0.383,0.421,2/1/2022
San Bernardino,6,2015,2/10/2015 8:00,0.107,0.017,1.512,0.587,0.019,0.016,0.066,0.158,0.224,0.293,0.112,0.429,1.711,2/3/2015
San Bernardino,6,2016,2/9/2016 8:00,0.214,0.018,0.338,0.131,0.02,0.02,0.051,0.081,0.122,0.26,0.099,0.277,0.455,2/2/2016
San Bernardino,6,2017,2/14/2017 8:00:00 AM,0.063,0.016,0.516,0.2,0.014,0.008,0.027,0.095,0.103,0.368,0.14,0.282,0.61,2/7/2017
San Bernardino,6,2018,2/13/2018 8:00:00 AM,1.33,0.728,0.808,0.314,0.098,0.146,0.898,0.087,0.678,0.186,0.071,1.068,1.473,2/6/2018
San Bernardino,6,2019,2/12/2019 8:00,0.078,0.02,0.626,0.243,0.017,0.021,0.121,0.074,0.466,0.14,0.053,0.249,1.082,2/5/2019
San Bernardino,6,2020,2/11/2020 8:00,0.568,0.047,0.516,0.2,0.059,0.053,0.195,0.148,0.87,0.171,0.065,0.431,1.378,2/4/2020
San Bernardino,6,2021,2/9/2021 8:00,0.25,0.021,0.985,0.382,0.038,0.029,0.084,0.124,0.391,0.208,0.079,0.307,1.36,2/2/2021
San Bernardino,6,2022,2/15/2022 8:00:00 AM,0.175,0.023,0.416,0.161,0.029,0.022,0.051,0.08,0.108,0.123,0.047,0.238,0.517,2/8/2022
San Bernardino,7,2015,2/17/2015 8:00:00 AM,0.159,0.017,0.744,0.289,0.021,0.022,0.082,0.129,0.262,0.129,0.049,0.321,0.994,2/10/2015
San Bernardino,7,2016,2/16/2016 8:00:00 AM,0.238,0.024,0.627,0.243,0.03,0.021,0.065,0.069,0.157,0.124,0.047,0.21,0.774,2/9/2016
San Bernardino,7,2017,2/21/2017 8:00:00 AM,0.187,0.015,0.73,0.283,0.024,0.028,0.114,0.133,0.635,0.463,0.177,0.36,1.354,2/14/2017
San Bernardino,7,2018,2/20/2018 8:00:00 AM,0.275,0.271,0.595,0.231,0.047,0.062,0.406,0.173,1.123,0.299,0.114,0.506,1.709,2/13/2018
San Bernardino,7,2019,2/19/2019 8:00:00 AM,0.059,0.158,0.244,0.095,0.021,0.026,0.182,0.062,0.345,0.16,0.061,0.229,0.585,2/12/2019
San Bernardino,7,2020,2/18/2020 8:00:00 AM,0.234,0.017,2.117,0.821,0.044,0.034,0.128,0.238,0.803,0.257,0.098,0.437,2.886,2/11/2020
San Bernardino,7,2021,2/16/2021 8:00:00 AM,0.165,0.044,1.187,0.461,0.03,0.028,0.162,0.168,0.748,0.202,0.077,0.366,1.915,2/9/2021
San Bernardino,7,2022,2/22/2022 8:00:00 AM,0.248,0.383,0.358,0.139,0.033,0.057,0.335,0.111,0.679,0.143,0.055,0.399,1.031,2/15/2022
San Bernardino,8,2015,2/24/2015 8:00:00 AM,0.263,0.047,1.834,0.712,0.035,0.038,0.154,0.261,0.681,0.21,0.08,0.695,2.486,2/17/2015
San Bernardino,8,2016,2/23/2016 8:00:00 AM,0.243,0.036,0.889,0.345,0.033,0.026,0.109,0.12,0.344,0.232,0.089,0.368,1.219,2/16/2016
San Bernardino,8,2017,2/28/2017 8:00:00 AM,0.088,0.036,0.806,0.313,0.021,0.024,0.146,0.244,0.96,0.413,0.158,0.384,1.753,2/21/2017
San Bernardino,8,2018,2/27/2018 8:00:00 AM,0.263,0.209,0.618,0.24,0.067,0.052,0.29,0.172,1.037,0.214,0.082,0.361,1.645,2/20/2018
San Bernardino,8,2019,2/26/2019 8:00:00 AM,0.116,0.018,1.232,0.478,0.023,0.021,0.098,0.33,1.16,0.182,0.069,0.315,2.372,2/19/2019
San Bernardino,8,2020,2/25/2020 8:00:00 AM,0.305,0.029,0.701,0.272,0.046,0.04,0.17,0.204,0.542,0.218,0.083,0.676,1.231,2/18/2020
San Bernardino,8,2021,2/23/2021 8:00:00 AM,0.199,0.043,0.772,0.3,0.038,0.03,0.107,0.103,0.316,0.195,0.074,0.259,1.076,2/16/2021
