Site ID,Ozone,Units,QA Code,Update_Date,Ozone F,Selected Date_Time
Shasta,25,PPB,3,2/27/2023 2:31:33 PM,-,12/30/2022 5:00:00 PM
Mariposa,24,PPB,3,2/27/2023 2:31:33 PM,-,12/30/2022 4:00:00 PM
Mariposa,27,PPB,3,2/27/2023 2:31:33 PM,-,12/30/2022 8:00:00 AM
San Bernardino,47,PPB,3,2/27/2023 2:31:33 PM,-,12/28/2022 1:00:00 PM
Inyo,24,PPB,3,2/27/2023 2:31:33 PM,-,12/27/2022 1:00:00 PM
Inyo,22,PPB,3,2/27/2023 2:31:33 PM,-,12/27/2022 12:00:00 PM
Inyo,21,PPB,3,2/27/2023 2:31:33 PM,-,12/25/2022 10:00:00 AM
Shasta,22,PPB,3,2/27/2023 2:31:33 PM,-,12/21/2022 7:00:00 PM
Tulare,3,PPB,3,5/24/2024 10:39:41 AM,-,12/21/2022 2:00:00 AM
Tulare,6,PPB,3,2/27/2023 2:31:33 PM,-,12/20/2022 9:00:00 PM
Mariposa,28,PPB,3,2/27/2023 2:31:33 PM,-,12/13/2022 7:00:00 PM
Inyo,47,PPB,3,2/27/2023 2:31:33 PM,-,12/11/2022 13:00
Mariposa,48,PPB,3,2/27/2023 2:31:33 PM,-,12/3/2022 0:00
Mariposa,49,PPB,3,2/27/2023 2:31:33 PM,-,12/2/2022 7:00
Tulare,57,PPB,3,1/31/2023 11:49:12 AM,-,11/28/2022 4:00:00 PM
Tulare,61,PPB,3,1/31/2023 11:49:12 AM,-,11/28/2022 3:00:00 PM
Tulare,58,PPB,3,1/31/2023 11:49:12 AM,-,11/28/2022 2:00:00 PM
Shasta,53,PPB,3,1/31/2023 11:49:12 AM,-,11/25/2022 10:00:00 AM
Inyo,27,PPB,3,1/31/2023 11:49:12 AM,-,11/23/2022 10:00:00 AM
Mariposa,52,PPB,3,1/31/2023 11:49:12 AM,-,11/18/2022 7:00:00 PM
Mariposa,20,PPB,3,1/31/2023 11:49:12 AM,-,11/6/2022 8:00
Mariposa,24,PPB,3,1/31/2023 11:49:12 AM,-,11/6/2022 6:00
Shasta,24,PPB,3,1/31/2023 11:49:12 AM,-,11/5/2022 22:00
Shasta,19,PPB,3,1/31/2023 11:49:12 AM,-,11/4/2022 4:00
Shasta,23,PPB,3,1/31/2023 11:49:12 AM,-,11/4/2022 1:00
Inyo,48,PPB,3,1/31/2023 11:49:12 AM,-,11/1/2022 20:00
Inyo,54,PPB,3,1/31/2023 11:49:12 AM,-,11/1/2022 19:00
San Bernardino,61,PPB,3,1/31/2023 11:49:12 AM,-,11/1/2022 14:00
San Bernardino,56,PPB,3,1/31/2023 11:49:12 AM,-,11/1/2022 12:00
San Bernardino,61,PPB,3,12/30/2022 3:14:18 PM,-,10/26/2022 3:00:00 PM
Mariposa,27,PPB,3,12/30/2022 3:14:18 PM,-,10/25/2022 1:00:00 AM
Tulare,27,PPB,3,12/30/2022 3:14:18 PM,-,10/24/2022 4:00:00 AM
Mariposa,31,PPB,3,12/30/2022 3:14:18 PM,-,10/22/2022 1:00:00 PM
San Bernardino,69,PPB,3,12/30/2022 3:14:18 PM,-,10/21/2022 4:00:00 PM
San Bernardino,71,PPB,3,12/30/2022 3:14:18 PM,-,10/21/2022 3:00:00 PM
Shasta,63,PPB,3,12/30/2022 3:14:18 PM,-,10/21/2022 3:00:00 PM
San Bernardino,25,PPB,3,12/30/2022 3:14:18 PM,-,10/16/2022 3:00:00 AM
San Bernardino,27,PPB,3,12/30/2022 3:14:18 PM,-,10/16/2022 2:00:00 AM
San Bernardino,29,PPB,3,12/30/2022 3:14:18 PM,-,10/15/2022 9:00:00 PM
Tulare,88,PPB,3,12/30/2022 3:14:18 PM,-,10/15/2022 4:00:00 PM
Inyo,31,PPB,3,12/30/2022 3:14:18 PM,-,10/14/2022 9:00:00 AM
Inyo,29,PPB,3,12/30/2022 3:14:18 PM,-,10/14/2022 8:00:00 AM
Mariposa,64,PPB,3,12/30/2022 3:14:18 PM,-,10/13/2022 6:00:00 PM
Mariposa,66,PPB,3,12/30/2022 3:14:18 PM,-,10/13/2022 4:00:00 PM
San Benito,65,PPB,3,12/30/2022 3:14:18 PM,-,10/8/2022 17:00
San Benito,63,PPB,3,12/30/2022 3:14:18 PM,-,10/8/2022 16:00
San Benito,62,PPB,3,12/30/2022 3:14:18 PM,-,10/6/2022 17:00
Tulare,87,PPB,3,12/30/2022 3:14:18 PM,-,10/6/2022 17:00
Shasta,59,PPB,3,12/30/2022 3:14:18 PM,-,10/6/2022 16:00
Tulare,92,PPB,3,12/30/2022 3:14:18 PM,-,10/6/2022 16:00
Shasta,56,PPB,3,12/30/2022 3:14:18 PM,-,10/6/2022 14:00
Tulare,91,PPB,3,12/30/2022 3:14:18 PM,-,10/5/2022 17:00
Tulare,89,PPB,3,12/30/2022 3:14:18 PM,-,10/5/2022 16:00
Tulare,86,PPB,3,12/30/2022 3:14:18 PM,-,10/4/2022 17:00
Inyo,54,PPB,3,12/30/2022 3:14:18 PM,-,10/1/2022 18:00
Inyo,56,PPB,3,12/30/2022 3:14:18 PM,-,10/1/2022 16:00
Shasta,24,PPB,3,12/30/2022 3:14:18 PM,-,10/1/2022 7:00
San Benito,11,PPB,3,11/29/2022 11:25:31 PM,-,9/29/2022 7:00:00 AM
Tulare,90,PPB,3,11/29/2022 11:25:31 PM,-,9/28/2022 2:00:00 PM
Tulare,99,PPB,3,11/29/2022 11:25:31 PM,-,9/27/2022 3:00:00 PM
San Benito,71,PPB,3,11/29/2022 11:25:31 PM,-,9/25/2022 1:00:00 PM
San Benito,67,PPB,3,11/29/2022 11:25:31 PM,-,9/24/2022 1:00:00 PM
San Benito,13,PPB,3,11/29/2022 11:25:31 PM,-,9/20/2022 10:00:00 PM
Shasta,9,PPB,3,11/29/2022 11:25:31 PM,-,9/20/2022 7:00:00 PM
Mariposa,-,-,3,11/29/2022 11:25:31 PM,-,9/20/2022 11:00:00 AM
Shasta,11,PPB,3,11/29/2022 11:25:31 PM,-,9/20/2022 6:00:00 AM
Tulare,18,PPB,3,11/29/2022 11:25:31 PM,-,9/20/2022 3:00:00 AM
Inyo,61,PPB,3,11/29/2022 11:25:31 PM,-,9/17/2022 5:00:00 PM
Tulare,13,PPB,3,11/29/2022 11:25:31 PM,-,9/12/2022 7:00
Tulare,8,PPB,3,11/29/2022 11:25:31 PM,-,9/12/2022 5:00
San Bernardino,17,PPB,3,11/29/2022 11:25:31 PM,-,9/11/2022 23:00
Shasta,68,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 13:00
Inyo,26,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 5:00
Inyo,24,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 4:00
Inyo,22,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 2:00
Inyo,25,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 0:00
Inyo,27,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 23:00
Mariposa,73,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 21:00
Mariposa,83,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 16:00
Mariposa,81,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 15:00
Mariposa,70,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 14:00
San Benito,73,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 16:00
Mariposa,85,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 16:00
Mariposa,79,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 15:00
Shasta,73,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 17:00
Shasta,75,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 16:00
Shasta,72,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 15:00
Shasta,66,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 14:00
Inyo,62,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 12:00
Mariposa,71,PPB,3,11/29/2022 11:25:31 PM,-,9/6/2022 18:00
Tulare,92,PPB,3,11/29/2022 11:25:31 PM,-,9/4/2022 16:00
Tulare,98,PPB,3,11/29/2022 11:25:31 PM,-,9/2/2022 18:00
Tulare,97,PPB,3,11/29/2022 11:25:31 PM,-,9/2/2022 16:00
