Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
Carbon monoxide,2022-01-01,23,96.0,0.521739,1.0,1,,California,Alameda
Carbon monoxide,2022-01-02,23,96.0,0.491304,0.9,19,,California,Alameda
Carbon monoxide,2022-01-03,23,96.0,0.352174,0.5,1,,California,Alameda
Carbon monoxide,2022-01-04,23,96.0,0.33913,0.5,8,,California,Alameda
Carbon monoxide,2022-01-05,23,96.0,0.378261,0.5,6,,California,Alameda
Carbon monoxide,2022-01-06,23,96.0,0.365217,0.4,0,,California,Alameda
Carbon monoxide,2022-01-07,23,96.0,0.417391,0.8,20,,California,Alameda
Carbon monoxide,2022-01-08,23,96.0,0.408696,0.6,1,,California,Alameda
Carbon monoxide,2022-01-09,23,96.0,0.4,0.7,2,,California,Alameda
Carbon monoxide,2022-01-10,23,96.0,0.517391,1.1,8,,California,Alameda
Carbon monoxide,2022-01-11,23,96.0,0.543478,0.8,8,,California,Alameda
Carbon monoxide,2022-01-12,23,96.0,0.591304,1.0,18,,California,Alameda
Carbon monoxide,2022-01-13,23,96.0,0.730435,1.0,0,,California,Alameda
Carbon monoxide,2022-01-14,23,96.0,0.665217,1.2,20,,California,Alameda
Carbon monoxide,2022-01-15,23,96.0,0.5,1.1,18,,California,Alameda
Carbon monoxide,2022-01-16,23,96.0,0.586957,1.5,23,,California,Alameda
Carbon monoxide,2022-01-17,23,96.0,0.83913,1.6,1,,California,Alameda
Carbon monoxide,2022-01-18,23,96.0,0.582609,1.4,7,,California,Alameda
Carbon monoxide,2022-01-19,23,96.0,0.482609,0.8,20,,California,Alameda
Carbon monoxide,2022-01-20,23,96.0,0.634783,1.0,18,,California,Alameda
Carbon monoxide,2022-01-21,23,96.0,0.478261,1.3,8,,California,Alameda
Carbon monoxide,2022-01-22,23,96.0,0.256522,0.7,19,,California,Alameda
Carbon monoxide,2022-01-23,23,96.0,0.482609,0.9,19,,California,Alameda
Carbon monoxide,2022-01-24,23,96.0,0.452174,0.8,6,,California,Alameda
Carbon monoxide,2022-01-25,23,96.0,0.447826,0.7,20,,California,Alameda
Carbon monoxide,2022-01-26,23,96.0,0.482609,0.9,20,,California,Alameda
Carbon monoxide,2022-01-27,23,96.0,0.4,1.0,8,,California,Alameda
Carbon monoxide,2022-01-28,23,96.0,0.482609,1.1,7,,California,Alameda
Carbon monoxide,2022-01-29,23,96.0,0.573913,0.9,7,,California,Alameda
Carbon monoxide,2022-01-30,23,96.0,0.4,0.6,21,,California,Alameda
Carbon monoxide,2022-01-31,23,96.0,0.504348,1.2,7,,California,Alameda
Carbon monoxide,2022-02-01,23,96.0,0.343478,0.7,8,,California,Alameda
Carbon monoxide,2022-02-02,23,96.0,0.269565,0.5,20,,California,Alameda
Carbon monoxide,2022-02-03,23,96.0,0.517391,0.8,7,,California,Alameda
Carbon monoxide,2022-02-04,23,96.0,0.591304,1.2,8,,California,Alameda
Carbon monoxide,2022-02-05,23,96.0,0.582609,1.0,19,,California,Alameda
Carbon monoxide,2022-02-06,23,96.0,0.495652,0.8,19,,California,Alameda
Carbon monoxide,2022-02-07,23,96.0,0.626087,1.2,8,,California,Alameda
Carbon monoxide,2022-02-08,23,96.0,0.634783,1.5,8,,California,Alameda
Carbon monoxide,2022-02-09,23,96.0,0.495652,0.9,18,,California,Alameda
Carbon monoxide,2022-02-10,23,96.0,0.452174,0.9,18,,California,Alameda
Carbon monoxide,2022-02-11,23,96.0,0.643478,1.1,19,,California,Alameda
Carbon monoxide,2022-02-12,23,96.0,0.656522,1.3,21,,California,Alameda
Carbon monoxide,2022-02-13,23,96.0,0.543478,0.9,8,,California,Alameda
Carbon monoxide,2022-02-14,23,96.0,0.317391,0.4,0,,California,Alameda
Carbon monoxide,2022-02-15,23,96.0,0.326087,0.6,19,,California,Alameda
Carbon monoxide,2022-02-16,23,96.0,0.330435,0.6,7,,California,Alameda
Carbon monoxide,2022-02-17,23,96.0,0.291304,0.7,20,,California,Alameda
Carbon monoxide,2022-02-18,23,96.0,0.486957,1.0,20,,California,Alameda
Carbon monoxide,2022-02-19,23,96.0,0.565217,1.0,7,,California,Alameda
Carbon monoxide,2022-02-20,23,96.0,0.330435,0.6,2,,California,Alameda
Carbon monoxide,2022-02-21,23,96.0,0.33913,0.8,7,,California,Alameda
Carbon monoxide,2022-02-22,23,96.0,0.286957,0.5,22,,California,Alameda
Carbon monoxide,2022-02-23,23,96.0,0.321739,0.6,8,,California,Alameda
Carbon monoxide,2022-02-24,23,96.0,0.347826,0.6,7,,California,Alameda
Carbon monoxide,2022-02-25,23,96.0,0.421739,0.6,7,,California,Alameda
Carbon monoxide,2022-02-26,23,96.0,0.443478,0.7,7,,California,Alameda
Carbon monoxide,2022-02-27,23,96.0,0.465217,0.8,4,,California,Alameda
Carbon monoxide,2022-02-28,23,96.0,0.46087,0.7,8,,California,Alameda
Carbon monoxide,2022-03-01,19,79.0,0.463158,0.9,7,,California,Alameda
Carbon monoxide,2022-03-02,22,92.0,0.422727,0.8,7,,California,Alameda
Carbon monoxide,2022-03-03,22,92.0,0.495455,0.8,7,,California,Alameda
Carbon monoxide,2022-03-04,23,96.0,0.343478,0.5,1,,California,Alameda
Carbon monoxide,2022-03-05,23,96.0,0.4,0.7,21,,California,Alameda
Carbon monoxide,2022-03-06,23,96.0,0.408696,0.6,2,,California,Alameda
Carbon monoxide,2022-03-07,22,92.0,0.363636,0.9,7,,California,Alameda
Carbon monoxide,2022-03-08,23,96.0,0.33913,0.7,8,,California,Alameda
Carbon monoxide,2022-03-09,23,96.0,0.308696,0.6,6,,California,Alameda
Carbon monoxide,2022-03-10,23,96.0,0.308696,0.5,6,,California,Alameda
Carbon monoxide,2022-03-11,23,96.0,0.334783,0.5,7,,California,Alameda
Carbon monoxide,2022-03-12,23,96.0,0.286957,0.7,7,,California,Alameda
Carbon monoxide,2022-03-13,23,96.0,0.286957,0.5,20,,California,Alameda
Carbon monoxide,2022-03-14,23,96.0,0.343478,0.7,6,,California,Alameda
Carbon monoxide,2022-03-15,23,96.0,0.304348,0.4,6,,California,Alameda
Carbon monoxide,2022-03-16,23,96.0,0.326087,0.5,6,,California,Alameda
Carbon monoxide,2022-03-17,23,96.0,0.273913,0.3,0,,California,Alameda
Carbon monoxide,2022-03-18,23,96.0,0.369565,0.9,6,,California,Alameda
Carbon monoxide,2022-03-19,23,96.0,0.26087,0.4,19,,California,Alameda
Carbon monoxide,2022-03-20,23,96.0,0.282609,0.4,6,,California,Alameda
Carbon monoxide,2022-03-21,21,88.0,0.357143,0.8,6,,California,Alameda
Carbon monoxide,2022-03-22,22,92.0,0.4,0.8,6,,California,Alameda
Carbon monoxide,2022-03-23,23,96.0,0.308696,0.4,22,,California,Alameda
Carbon monoxide,2022-03-24,23,96.0,0.356522,0.8,6,,California,Alameda
Carbon monoxide,2022-03-25,23,96.0,0.291304,0.4,21,,California,Alameda
Carbon monoxide,2022-03-26,23,96.0,0.326087,0.6,7,,California,Alameda
Carbon monoxide,2022-03-27,23,96.0,0.265217,0.4,0,,California,Alameda
Carbon monoxide,2022-03-28,23,96.0,0.286957,0.4,6,,California,Alameda
Carbon monoxide,2022-03-29,23,96.0,0.221739,0.4,0,,California,Alameda
Carbon monoxide,2022-03-30,23,96.0,0.213043,0.3,13,,California,Alameda
Carbon monoxide,2022-03-31,23,96.0,0.273913,0.4,20,,California,Alameda
Carbon monoxide,2022-04-01,23,96.0,0.317391,0.5,6,,California,Alameda
Carbon monoxide,2022-04-02,23,96.0,0.365217,0.5,6,,California,Alameda
