Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
Ozone,2017-01-01,17,100.0,0.033706,0.035,9,32,California,Alameda
Ozone,2017-01-02,17,100.0,0.023412,0.032,9,30,California,Alameda
Ozone,2017-01-03,17,100.0,0.029588,0.033,15,31,California,Alameda
Ozone,2017-01-04,17,100.0,0.023059,0.025,20,23,California,Alameda
Ozone,2017-01-05,17,100.0,0.017294,0.029,9,27,California,Alameda
Ozone,2017-01-06,17,100.0,0.019765,0.027,8,25,California,Alameda
Ozone,2017-01-07,17,100.0,0.017882,0.026,9,24,California,Alameda
Ozone,2017-01-08,17,100.0,0.023941,0.032,23,30,California,Alameda
Ozone,2017-01-09,17,100.0,0.036118,0.037,16,34,California,Alameda
Ozone,2017-01-10,17,100.0,0.037294,0.041,20,38,California,Alameda
Ozone,2017-01-11,17,100.0,0.018588,0.037,7,34,California,Alameda
Ozone,2017-01-12,17,100.0,0.014765,0.029,7,27,California,Alameda
Ozone,2017-01-13,17,100.0,0.012235,0.031,9,29,California,Alameda
Ozone,2017-01-14,17,100.0,0.013118,0.028,10,26,California,Alameda
Ozone,2017-01-15,17,100.0,0.009941,0.018,10,17,California,Alameda
Ozone,2017-01-16,17,100.0,0.011,0.024,9,22,California,Alameda
Ozone,2017-01-17,17,100.0,0.008118,0.015,9,14,California,Alameda
Ozone,2017-01-18,17,100.0,0.031471,0.04,21,37,California,Alameda
Ozone,2017-01-19,17,100.0,0.033588,0.038,22,35,California,Alameda
Ozone,2017-01-20,17,100.0,0.036412,0.038,10,35,California,Alameda
Ozone,2017-01-21,17,100.0,0.035353,0.038,21,35,California,Alameda
Ozone,2017-01-22,17,100.0,0.033588,0.038,10,35,California,Alameda
Ozone,2017-01-23,17,100.0,0.021471,0.036,9,33,California,Alameda
Ozone,2017-01-24,17,100.0,0.013706,0.03,10,28,California,Alameda
Ozone,2017-01-25,17,100.0,0.012059,0.027,10,25,California,Alameda
Ozone,2017-01-26,17,100.0,0.012824,0.028,10,26,California,Alameda
Ozone,2017-01-27,12,71.0,0.007917,0.023,12,21,California,Alameda
Ozone,2017-01-28,17,100.0,0.013824,0.03,10,28,California,Alameda
Ozone,2017-01-29,17,100.0,0.018,0.034,10,31,California,Alameda
Ozone,2017-01-30,17,100.0,0.012706,0.029,10,27,California,Alameda
Ozone,2017-01-31,17,100.0,0.013412,0.029,11,27,California,Alameda
Ozone,2017-02-01,17,100.0,0.002059,0.009,23,8,California,Alameda
Ozone,2017-02-02,17,100.0,0.017529,0.031,7,29,California,Alameda
Ozone,2017-02-03,17,100.0,0.031706,0.037,7,34,California,Alameda
Ozone,2017-02-04,17,100.0,0.018588,0.035,7,32,California,Alameda
Ozone,2017-02-05,17,100.0,0.030118,0.034,13,31,California,Alameda
Ozone,2017-02-06,17,100.0,0.032,0.036,10,33,California,Alameda
Ozone,2017-02-07,17,100.0,0.008941,0.02,7,19,California,Alameda
Ozone,2017-02-08,17,100.0,0.010647,0.013,7,12,California,Alameda
Ozone,2017-02-09,17,100.0,0.019471,0.026,21,24,California,Alameda
Ozone,2017-02-10,17,100.0,0.030294,0.036,10,33,California,Alameda
Ozone,2017-02-11,17,100.0,0.017118,0.032,10,30,California,Alameda
Ozone,2017-02-12,17,100.0,0.017176,0.036,9,33,California,Alameda
Ozone,2017-02-13,17,100.0,0.016176,0.028,11,26,California,Alameda
Ozone,2017-02-14,17,100.0,0.016176,0.034,10,31,California,Alameda
Ozone,2017-02-15,17,100.0,0.015471,0.033,23,31,California,Alameda
Ozone,2017-02-16,17,100.0,0.024118,0.042,10,39,California,Alameda
Ozone,2017-02-17,17,100.0,0.028706,0.032,7,30,California,Alameda
Ozone,2017-02-18,17,100.0,0.037118,0.041,15,38,California,Alameda
Ozone,2017-02-19,17,100.0,0.025706,0.032,8,30,California,Alameda
Ozone,2017-02-20,17,100.0,0.038882,0.043,20,40,California,Alameda
Ozone,2017-02-21,17,100.0,0.032706,0.038,9,35,California,Alameda
Ozone,2017-02-22,17,100.0,0.036,0.04,10,37,California,Alameda
Ozone,2017-02-23,17,100.0,0.023882,0.039,9,36,California,Alameda
Ozone,2017-02-24,17,100.0,0.027706,0.039,11,36,California,Alameda
Ozone,2017-02-25,17,100.0,0.032412,0.041,10,38,California,Alameda
Ozone,2017-02-26,17,100.0,0.036176,0.04,10,37,California,Alameda
Ozone,2017-02-27,17,100.0,0.026294,0.04,10,37,California,Alameda
Ozone,2017-02-28,14,82.0,0.026214,0.036,10,33,California,Alameda
Ozone,2017-03-01,17,100.0,0.020588,0.037,10,34,California,Alameda
Ozone,2017-03-02,17,100.0,0.019353,0.038,10,35,California,Alameda
Ozone,2017-03-03,17,100.0,0.029059,0.036,10,33,California,Alameda
Ozone,2017-03-04,17,100.0,0.037529,0.041,23,38,California,Alameda
Ozone,2017-03-05,17,100.0,0.037882,0.043,9,40,California,Alameda
Ozone,2017-03-06,17,100.0,0.020824,0.039,8,36,California,Alameda
Ozone,2017-03-07,17,100.0,0.022647,0.04,10,37,California,Alameda
Ozone,2017-03-08,17,100.0,0.016412,0.034,10,31,California,Alameda
Ozone,2017-03-09,17,100.0,0.015647,0.032,10,30,California,Alameda
Ozone,2017-03-10,17,100.0,0.014412,0.029,11,27,California,Alameda
Ozone,2017-03-11,17,100.0,0.021706,0.033,11,31,California,Alameda
Ozone,2017-03-12,17,100.0,0.020118,0.038,10,35,California,Alameda
Ozone,2017-03-13,17,100.0,0.020529,0.041,11,38,California,Alameda
Ozone,2017-03-14,17,100.0,0.027412,0.044,11,41,California,Alameda
Ozone,2017-03-15,17,100.0,0.021,0.031,8,29,California,Alameda
Ozone,2017-03-16,17,100.0,0.017706,0.027,11,25,California,Alameda
Ozone,2017-03-17,17,100.0,0.022588,0.041,10,38,California,Alameda
Ozone,2017-03-18,17,100.0,0.021647,0.034,12,31,California,Alameda
Ozone,2017-03-19,17,100.0,0.024824,0.034,11,31,California,Alameda
Ozone,2017-03-20,17,100.0,0.017824,0.026,7,24,California,Alameda
Ozone,2017-03-21,17,100.0,0.038059,0.043,11,40,California,Alameda
Ozone,2017-03-22,17,100.0,0.036353,0.044,10,41,California,Alameda
Ozone,2017-03-23,17,100.0,0.035176,0.042,11,39,California,Alameda
Ozone,2017-03-24,17,100.0,0.033059,0.037,9,34,California,Alameda
Ozone,2017-03-25,17,100.0,0.035941,0.043,11,40,California,Alameda
Ozone,2017-03-26,17,100.0,0.035882,0.041,8,38,California,Alameda
Ozone,2017-03-27,17,100.0,0.027176,0.039,9,36,California,Alameda
Ozone,2017-03-28,17,100.0,0.025765,0.048,10,44,California,Alameda
Ozone,2017-03-29,17,100.0,0.032588,0.041,10,38,California,Alameda
Ozone,2017-03-30,17,100.0,0.038235,0.043,8,40,California,Alameda
Ozone,2017-03-31,17,100.0,0.035118,0.042,9,39,California,Alameda
Ozone,2017-04-01,17,100.0,0.028471,0.043,11,40,California,Alameda
Ozone,2017-04-02,17,100.0,0.022294,0.039,10,36,California,Alameda
Ozone,2017-04-03,17,100.0,0.028353,0.045,10,42,California,Alameda
Ozone,2017-04-04,17,100.0,0.028118,0.042,10,39,California,Alameda
Ozone,2017-04-05,17,100.0,0.037235,0.045,11,42,California,Alameda
Ozone,2017-04-06,17,100.0,0.035,0.04,18,37,California,Alameda
Ozone,2017-04-07,17,100.0,0.038412,0.039,8,36,California,Alameda
Ozone,2017-04-08,17,100.0,0.031412,0.045,9,42,California,Alameda
Ozone,2017-04-09,17,100.0,0.033412,0.043,10,40,California,Alameda
Ozone,2017-04-10,17,100.0,0.030941,0.043,10,40,California,Alameda
Ozone,2017-04-11,17,100.0,0.035235,0.043,9,40,California,Alameda
Ozone,2017-04-12,17,100.0,0.035706,0.038,14,35,California,Alameda
Ozone,2017-04-13,17,100.0,0.038059,0.045,9,42,California,Alameda
Ozone,2017-04-14,17,100.0,0.026118,0.04,10,37,California,Alameda
Ozone,2017-04-15,17,100.0,0.024294,0.038,9,35,California,Alameda
Ozone,2017-04-16,17,100.0,0.022529,0.033,10,31,California,Alameda
Ozone,2017-04-17,17,100.0,0.024471,0.026,10,24,California,Alameda
Ozone,2017-04-18,17,100.0,0.028765,0.039,10,36,California,Alameda
Ozone,2017-04-19,17,100.0,0.035882,0.046,10,43,California,Alameda
Ozone,2017-04-20,17,100.0,0.030647,0.047,9,44,California,Alameda
Ozone,2017-04-21,17,100.0,0.028294,0.044,10,41,California,Alameda
Ozone,2017-04-22,17,100.0,0.031588,0.034,9,31,California,Alameda
Ozone,2017-04-23,17,100.0,0.035882,0.04,7,37,California,Alameda
Ozone,2017-04-24,17,100.0,0.035529,0.037,12,34,California,Alameda
Ozone,2017-04-25,17,100.0,0.034059,0.039,10,36,California,Alameda
Ozone,2017-04-26,17,100.0,0.025412,0.027,21,25,California,Alameda
Ozone,2017-04-27,17,100.0,0.034588,0.041,11,38,California,Alameda
Ozone,2017-04-28,17,100.0,0.041412,0.052,10,48,California,Alameda
Ozone,2017-04-29,17,100.0,0.029176,0.043,10,40,California,Alameda
Ozone,2017-04-30,17,100.0,0.027824,0.045,11,42,California,Alameda
Ozone,2017-05-01,17,100.0,0.026765,0.045,9,42,California,Alameda
Ozone,2017-05-02,17,100.0,0.021118,0.037,10,34,California,Alameda
Ozone,2017-05-03,17,100.0,0.026941,0.045,11,42,California,Alameda
Ozone,2017-05-04,17,100.0,0.023118,0.035,9,32,California,Alameda
Ozone,2017-05-05,17,100.0,0.034176,0.038,14,35,California,Alameda
Ozone,2017-05-06,17,100.0,0.031176,0.038,10,35,California,Alameda
Ozone,2017-05-07,17,100.0,0.029882,0.037,10,34,California,Alameda
Ozone,2017-05-08,11,65.0,0.022182,0.04,13,37,California,Alameda
Ozone,2017-05-09,17,100.0,0.037529,0.051,10,47,California,Alameda
Ozone,2017-05-10,17,100.0,0.032882,0.038,8,35,California,Alameda
Ozone,2017-05-11,17,100.0,0.030412,0.033,8,31,California,Alameda
Ozone,2017-05-12,17,100.0,0.033118,0.036,8,33,California,Alameda
Ozone,2017-05-13,17,100.0,0.033176,0.038,8,35,California,Alameda
Ozone,2017-05-14,17,100.0,0.029235,0.034,8,31,California,Alameda
Ozone,2017-05-15,17,100.0,0.032882,0.034,16,31,California,Alameda
Ozone,2017-05-16,17,100.0,0.023824,0.025,7,23,California,Alameda
Ozone,2017-05-17,17,100.0,0.026706,0.037,10,34,California,Alameda
Ozone,2017-05-18,17,100.0,0.022176,0.036,9,33,California,Alameda
Ozone,2017-05-19,17,100.0,0.030176,0.047,10,44,California,Alameda
Ozone,2017-05-20,17,100.0,0.029353,0.048,10,44,California,Alameda
Ozone,2017-05-21,17,100.0,0.036176,0.051,11,47,California,Alameda
Ozone,2017-05-22,17,100.0,0.040882,0.058,11,61,California,Alameda
Ozone,2017-05-23,17,100.0,0.034294,0.051,10,47,California,Alameda
Ozone,2017-05-24,17,100.0,0.030471,0.035,11,32,California,Alameda
Ozone,2017-05-25,17,100.0,0.030647,0.035,9,32,California,Alameda
Ozone,2017-05-26,17,100.0,0.026824,0.032,9,30,California,Alameda
Ozone,2017-05-27,17,100.0,0.028059,0.033,9,31,California,Alameda
Ozone,2017-05-28,17,100.0,0.025588,0.03,9,28,California,Alameda
Ozone,2017-05-29,17,100.0,0.025882,0.027,10,25,California,Alameda
Ozone,2017-05-30,17,100.0,0.026353,0.03,9,28,California,Alameda
Ozone,2017-05-31,17,100.0,0.022059,0.031,8,29,California,Alameda
Ozone,2017-06-01,17,100.0,0.018706,0.022,7,20,California,Alameda
Ozone,2017-06-02,17,100.0,0.024765,0.035,11,32,California,Alameda
Ozone,2017-06-03,17,100.0,0.029176,0.035,11,32,California,Alameda
Ozone,2017-06-04,17,100.0,0.031588,0.041,9,38,California,Alameda
Ozone,2017-06-05,17,100.0,0.031353,0.045,10,42,California,Alameda
Ozone,2017-06-06,17,100.0,0.024529,0.031,9,29,California,Alameda
Ozone,2017-06-07,17,100.0,0.022353,0.03,10,28,California,Alameda
Ozone,2017-06-08,17,100.0,0.018765,0.026,10,24,California,Alameda
Ozone,2017-06-09,17,100.0,0.026588,0.033,11,31,California,Alameda
Ozone,2017-06-10,17,100.0,0.026765,0.03,8,28,California,Alameda
Ozone,2017-06-11,17,100.0,0.022882,0.026,7,24,California,Alameda
Ozone,2017-06-12,17,100.0,0.019941,0.026,9,24,California,Alameda
Ozone,2017-06-13,17,100.0,0.022647,0.032,10,30,California,Alameda
Ozone,2017-06-14,17,100.0,0.027529,0.037,10,34,California,Alameda
Ozone,2017-06-15,17,100.0,0.018471,0.033,8,31,California,Alameda
Ozone,2017-06-16,17,100.0,0.024294,0.037,10,34,California,Alameda
Ozone,2017-06-17,17,100.0,0.030588,0.044,10,41,California,Alameda
Ozone,2017-06-18,17,100.0,0.028235,0.041,10,38,California,Alameda
Ozone,2017-06-19,17,100.0,0.03,0.054,9,50,California,Alameda
Ozone,2017-06-20,11,65.0,0.017182,0.046,8,43,California,Alameda
Ozone,2017-06-21,17,100.0,0.034882,0.059,10,64,California,Alameda
Ozone,2017-06-22,17,100.0,0.043,0.068,10,93,California,Alameda
Ozone,2017-06-23,17,100.0,0.028412,0.045,9,42,California,Alameda
Ozone,2017-06-24,17,100.0,0.024765,0.035,10,32,California,Alameda
Ozone,2017-06-25,17,100.0,0.023882,0.03,10,28,California,Alameda
Ozone,2017-06-26,17,100.0,0.022471,0.028,8,26,California,Alameda
Ozone,2017-06-27,17,100.0,0.018706,0.022,8,20,California,Alameda
Ozone,2017-06-28,17,100.0,0.021294,0.028,9,26,California,Alameda
Ozone,2017-06-29,17,100.0,0.023235,0.03,9,28,California,Alameda
Ozone,2017-06-30,17,100.0,0.023235,0.029,10,27,California,Alameda
Ozone,2017-07-01,17,100.0,0.023882,0.031,10,29,California,Alameda
Ozone,2017-07-02,17,100.0,0.023529,0.033,9,31,California,Alameda
Ozone,2017-07-03,17,100.0,0.028588,0.044,10,41,California,Alameda
Ozone,2017-07-04,17,100.0,0.026471,0.042,10,39,California,Alameda
Ozone,2017-07-05,17,100.0,0.024235,0.034,11,31,California,Alameda
Ozone,2017-07-06,17,100.0,0.032647,0.048,10,44,California,Alameda
Ozone,2017-07-07,17,100.0,0.028941,0.053,10,49,California,Alameda
Ozone,2017-07-08,17,100.0,0.028765,0.046,9,43,California,Alameda
Ozone,2017-07-09,17,100.0,0.025294,0.04,10,37,California,Alameda
Ozone,2017-07-10,17,100.0,0.021294,0.033,9,31,California,Alameda
Ozone,2017-07-11,17,100.0,0.025118,0.036,9,33,California,Alameda
Ozone,2017-07-12,17,100.0,0.025,0.041,10,38,California,Alameda
Ozone,2017-07-13,17,100.0,0.019529,0.031,9,29,California,Alameda
Ozone,2017-07-14,17,100.0,0.024765,0.041,10,38,California,Alameda
Ozone,2017-07-15,17,100.0,0.029941,0.049,10,45,California,Alameda
Ozone,2017-07-16,17,100.0,0.029824,0.04,9,37,California,Alameda
Ozone,2017-07-17,17,100.0,0.032412,0.05,10,46,California,Alameda
Ozone,2017-07-18,17,100.0,0.017353,0.025,9,23,California,Alameda
Ozone,2017-07-19,17,100.0,0.019235,0.03,9,28,California,Alameda
Ozone,2017-07-20,17,100.0,0.017824,0.024,9,22,California,Alameda
Ozone,2017-07-21,17,100.0,0.018294,0.03,10,28,California,Alameda
Ozone,2017-07-22,17,100.0,0.030294,0.049,11,45,California,Alameda
Ozone,2017-07-23,17,100.0,0.026588,0.046,9,43,California,Alameda
Ozone,2017-07-24,17,100.0,0.023824,0.036,9,33,California,Alameda
Ozone,2017-07-25,17,100.0,0.022353,0.036,10,33,California,Alameda
Ozone,2017-07-26,17,100.0,0.026647,0.039,11,36,California,Alameda
Ozone,2017-07-27,13,76.0,0.029769,0.053,11,49,California,Alameda
Ozone,2017-07-28,17,100.0,0.028471,0.047,10,44,California,Alameda
Ozone,2017-07-29,17,100.0,0.027941,0.044,10,41,California,Alameda
Ozone,2017-07-30,17,100.0,0.035882,0.054,11,50,California,Alameda
Ozone,2017-07-31,17,100.0,0.031176,0.049,10,45,California,Alameda
Ozone,2017-08-01,17,100.0,0.039824,0.067,10,90,California,Alameda
Ozone,2017-08-02,17,100.0,0.043176,0.069,9,97,California,Alameda
Ozone,2017-08-03,17,100.0,0.036765,0.05,10,46,California,Alameda
Ozone,2017-08-04,17,100.0,0.034,0.044,12,41,California,Alameda
Ozone,2017-08-05,17,100.0,0.031353,0.045,7,42,California,Alameda
Ozone,2017-08-06,17,100.0,0.031882,0.041,10,38,California,Alameda
Ozone,2017-08-07,17,100.0,0.033059,0.04,9,37,California,Alameda
Ozone,2017-08-08,17,100.0,0.031471,0.045,9,42,California,Alameda
Ozone,2017-08-09,17,100.0,0.025941,0.031,9,29,California,Alameda
Ozone,2017-08-10,17,100.0,0.028059,0.037,10,34,California,Alameda
Ozone,2017-08-11,17,100.0,0.034765,0.047,10,44,California,Alameda
Ozone,2017-08-12,17,100.0,0.028824,0.04,9,37,California,Alameda
Ozone,2017-08-13,17,100.0,0.018059,0.028,8,26,California,Alameda
Ozone,2017-08-14,17,100.0,0.024,0.025,10,23,California,Alameda
Ozone,2017-08-15,17,100.0,0.025294,0.031,9,29,California,Alameda
Ozone,2017-08-16,17,100.0,0.028471,0.043,11,40,California,Alameda
Ozone,2017-08-17,17,100.0,0.028824,0.043,10,40,California,Alameda
Ozone,2017-08-18,17,100.0,0.033941,0.05,10,46,California,Alameda
Ozone,2017-08-19,17,100.0,0.032353,0.045,10,42,California,Alameda
Ozone,2017-08-20,17,100.0,0.034941,0.046,10,43,California,Alameda
Ozone,2017-08-21,17,100.0,0.029294,0.037,11,34,California,Alameda
Ozone,2017-08-22,17,100.0,0.035765,0.05,10,46,California,Alameda
Ozone,2017-08-23,17,100.0,0.035294,0.059,10,64,California,Alameda
Ozone,2017-08-24,17,100.0,0.016471,0.022,8,20,California,Alameda
Ozone,2017-08-25,17,100.0,0.032706,0.057,10,58,California,Alameda
Ozone,2017-08-26,17,100.0,0.052941,0.079,10,129,California,Alameda
