Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM10 Total 0-10um STP,2022-01-01,1,100.0,27,27,23,25,California,Butte
PM10 Total 0-10um STP,2022-01-02,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2022-01-03,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2022-01-04,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2022-01-11,1,100.0,24,24,23,22,California,Butte
PM10 Total 0-10um STP,2022-01-12,1,100.0,29,29,23,27,California,Butte
PM10 Total 0-10um STP,2022-01-13,1,100.0,32,32,23,30,California,Butte
PM10 Total 0-10um STP,2022-01-14,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2022-01-15,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2022-01-16,1,100.0,22,22,23,20,California,Butte
PM10 Total 0-10um STP,2022-01-17,1,100.0,26,26,23,24,California,Butte
PM10 Total 0-10um STP,2022-01-18,1,100.0,31,31,23,29,California,Butte
PM10 Total 0-10um STP,2022-01-19,1,100.0,23,23,23,21,California,Butte
PM10 Total 0-10um STP,2022-01-20,1,100.0,28,28,23,26,California,Butte
PM10 Total 0-10um STP,2022-01-21,1,100.0,20,20,23,19,California,Butte
PM10 Total 0-10um STP,2022-01-22,1,100.0,7,7,23,6,California,Butte
PM10 Total 0-10um STP,2022-01-23,1,100.0,16,16,23,15,California,Butte
PM10 Total 0-10um STP,2022-01-24,1,100.0,26,26,23,24,California,Butte
PM10 Total 0-10um STP,2022-01-25,1,100.0,18,18,23,17,California,Butte
PM10 Total 0-10um STP,2022-01-26,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2022-01-27,1,100.0,24,24,23,22,California,Butte
PM10 Total 0-10um STP,2022-01-28,1,100.0,26,26,23,24,California,Butte
PM10 Total 0-10um STP,2022-01-29,1,100.0,24,24,23,22,California,Butte
PM10 Total 0-10um STP,2022-01-30,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2022-01-31,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2022-02-01,1,100.0,18,18,23,17,California,Butte
PM10 Total 0-10um STP,2022-02-02,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2022-02-03,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2022-02-04,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2022-02-05,1,100.0,16,16,23,15,California,Butte
PM10 Total 0-10um STP,2022-02-06,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2022-02-07,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2022-02-08,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2022-02-09,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2022-02-10,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2022-02-11,1,100.0,22,22,23,20,California,Butte
PM10 Total 0-10um STP,2022-02-12,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2022-02-13,1,100.0,10,10,23,9,California,Butte
PM10 Total 0-10um STP,2022-02-14,1,100.0,16,16,23,15,California,Butte
PM10 Total 0-10um STP,2022-02-15,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2022-02-16,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2022-02-17,1,100.0,12,12,23,11,California,Butte
PM10 Total 0-10um STP,2022-02-18,1,100.0,13,13,23,12,California,Butte
PM10 Total 0-10um STP,2022-02-19,1,100.0,14,14,23,13,California,Butte
