Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM2.5 - Local Conditions,2015-01-01,24,100.0,16.708333,47.0,23,,California,Alameda
PM2.5 - Local Conditions,2015-01-02,24,100.0,23.166667,38.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-03,24,100.0,27.5,48.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-04,24,100.0,28.208333,44.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-05,24,100.0,31.166667,46.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-06,24,100.0,28.5,43.0,22,,California,Alameda
PM2.5 - Local Conditions,2015-01-07,24,100.0,18.625,34.0,0,,California,Alameda
PM2.5 - Local Conditions,2015-01-08,24,100.0,30.666667,55.0,16,,California,Alameda
PM2.5 - Local Conditions,2015-01-09,24,100.0,23.291667,41.0,0,,California,Alameda
PM2.5 - Local Conditions,2015-01-10,24,100.0,22.0,36.0,20,,California,Alameda
PM2.5 - Local Conditions,2015-01-11,24,100.0,20.958333,30.0,1,,California,Alameda
PM2.5 - Local Conditions,2015-01-12,24,100.0,12.916667,19.0,0,,California,Alameda
PM2.5 - Local Conditions,2015-01-13,23,96.0,9.434783,22.0,23,,California,Alameda
PM2.5 - Local Conditions,2015-01-14,24,100.0,26.541667,51.0,19,,California,Alameda
PM2.5 - Local Conditions,2015-01-15,24,100.0,30.041667,44.0,22,,California,Alameda
PM2.5 - Local Conditions,2015-01-16,24,100.0,22.958333,44.0,1,,California,Alameda
PM2.5 - Local Conditions,2015-01-17,24,100.0,13.25,22.0,1,,California,Alameda
PM2.5 - Local Conditions,2015-01-18,24,100.0,8.75,25.0,1,,California,Alameda
PM2.5 - Local Conditions,2015-01-19,24,100.0,9.958333,24.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-20,24,100.0,11.416667,24.0,21,,California,Alameda
PM2.5 - Local Conditions,2015-01-21,24,100.0,14.0,25.0,22,,California,Alameda
PM2.5 - Local Conditions,2015-01-22,24,100.0,16.458333,35.0,23,,California,Alameda
PM2.5 - Local Conditions,2015-01-23,24,100.0,14.541667,33.0,0,,California,Alameda
PM2.5 - Local Conditions,2015-01-24,24,100.0,12.416667,21.0,20,,California,Alameda
PM2.5 - Local Conditions,2015-01-25,24,100.0,10.041667,21.0,19,,California,Alameda
