State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,2015-01-01,65,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-01-02,79,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-03,97,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-04,99,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-05,92,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-01-06,102,Unhealthy for Sensitive Groups,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-07,82,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-08,109,Unhealthy for Sensitive Groups,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-09,92,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-10,75,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-01-11,73,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-01-12,62,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-13,58,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-14,83,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-01-15,102,Unhealthy for Sensitive Groups,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-16,95,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-17,68,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-18,63,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-19,54,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-20,64,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-21,61,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-22,69,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-23,75,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-24,75,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-25,74,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-26,71,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-27,56,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-28,67,Moderate,PM2.5,06-001-0009,4
California,Alameda,6,1,2015-01-29,65,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-01-30,59,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-01-31,53,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-02-01,67,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-02-02,84,Moderate,PM2.5,06-001-0011,4
California,Alameda,6,1,2015-02-03,77,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-02-04,80,Moderate,PM2.5,06-001-0009,4
California,Alameda,6,1,2015-02-05,55,Moderate,PM2.5,06-001-0007,4
California,Alameda,6,1,2015-02-06,28,Good,Ozone,06-001-0012,4
California,Alameda,6,1,2015-02-07,38,Good,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-02-08,36,Good,Ozone,06-001-0009,4
California,Alameda,6,1,2015-02-09,54,Moderate,PM2.5,06-001-0012,4
California,Alameda,6,1,2015-02-10,46,Good,PM2.5,06-001-0011,4
