County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Butte,2015,Total population,All ages,14.7,(7.8-21.6),20.51260504201681
Calaveras,2015,Total population,All ages,14.2,(7.2-21.1),15.865013774104684
Colusa,2015,Total population,All ages,14.0,(7.4-20.5),24.24561403508772
Contra Costa,2015,Total population,All ages,20.7,(13.8-27.6),14.983333333333333
El Dorado,2015,Total population,All ages,25.2,(12.5-37.8),15.656626506024097
Fresno,2015,Total population,All ages,16.3,(10.7-22.0),34.895890410958906
Glenn,2015,Total population,All ages,14.0,(7.4-20.5),26.20343839541547
Humboldt,2015,Total population,All ages,18.1,(7.4-28.8),17.66573816155989
Imperial,2015,Total population,All ages,15.1,(9.6-20.7),43.49315068493151
Inyo,2015,Total population,All ages,14.2,(7.2-21.1),15.301369863013699
Kern,2015,Total population,All ages,23.7,(16.4-31.0),22.729805013927578
Kings,2015,Total population,All ages,26.7,(16.5-36.8),47.885474860335194
Lake,2015,Total population,All ages,21.4,(13.0-29.9),8.848484848484848
Los Angeles,2015,Total population,All ages,12.7,(11.0-14.3),30.035616438356165
Madera,2015,Total population,All ages,17.1,(9.2-25.1),31.877142857142857
Marin,2015,Total population,All ages,10.8,(7.8-13.7),15.166666666666666
Mariposa,2015,Total population,All ages,14.2,(7.2-21.1),22.36705202312139
Mendocino,2015,Total population,All ages,16.5,(8.7-24.4),13.325373134328359
Merced,2015,Total population,All ages,18.4,(9.5-27.3),30.155172413793103
Mono,2015,Total population,All ages,14.2,(7.2-21.1),15.90958904109589
Monterey,2015,Total population,All ages,12.4,(6.6-18.2),23.812849162011172
Napa,2015,Total population,All ages,20.1,(10.8-29.3),17.847457627118644
Orange,2015,Total population,All ages,12.8,(9.1-16.4),24.744505494505493
Placer,2015,Total population,All ages,14.8,(7.9-21.6),16.90566037735849
Riverside,2015,Total population,All ages,15.5,(11.0-20.1),56.72054794520548
Sacramento,2015,Total population,All ages,18.8,(14.0-23.6),20.643835616438356
San Benito,2015,Total population,All ages,13.4,(5.8-20.9),16.490304709141274
San Bernardino,2015,Total population,All ages,15.9,(12.7-19.2),22.624657534246577
San Diego,2015,Total population,All ages,14.1,(11.9-16.2),20.838461538461537
San Francisco,2015,Total population,All ages,15.0,(9.2-20.7),18.066666666666666
San Joaquin,2015,Total population,All ages,14.3,(9.1-19.5),27.344444444444445
San Luis Obispo,2015,Total population,All ages,11.1,(5.5-16.8),16.73972602739726
Santa Barbara,2015,Total population,All ages,13.0,(4.9-21.2),22.602739726027398
Santa Clara,2015,Total population,All ages,11.7,(8.3-15.1),20.96551724137931
Shasta,2015,Total population,All ages,12.1,(6.9-17.2),12.852459016393443
Siskiyou,2015,Total population,All ages,14.6,(4.8-24.5),13.266666666666667
Solano,2015,Total population,All ages,21.4,(13.1-29.8),12.175438596491228
Sonoma,2015,Total population,All ages,16.3,(8.6-24.1),9.449315068493151
Stanislaus,2015,Total population,All ages,18.8,(11.4-26.2),26.192200557103064
Sutter,2015,Total population,All ages,18.4,(5.2-31.5),21.997206703910614
Tehama,2015,Total population,All ages,14.0,(7.4-20.5),20.43103448275862
Tulare,2015,Total population,All ages,14.7,(9.8-19.6),50.15428571428571
Ventura,2015,Total population,All ages,15.1,(11.1-19.1),21.243835616438357
Yolo,2015,Total population,All ages,17.2,(5.3-29.1),21.307692307692307
Fresno,2015,Child vs. adult,0-17 years,18.1,(4.5-31.6),34.895890410958906
Imperial,2015,Child vs. adult,0-17 years,22.0,(7.8-36.2),43.49315068493151
Kern,2015,Child vs. adult,0-17 years,31.8,(16.7-46.8),22.729805013927578
Kings,2015,Child vs. adult,0-17 years,33.1,(9.3-57.0),47.885474860335194
Los Angeles,2015,Child vs. adult,0-17 years,12.6,(8.0-17.2),30.035616438356165
Monterey,2015,Child vs. adult,0-17 years,11.7,(0.3-23.1),23.812849162011172
Orange,2015,Child vs. adult,0-17 years,18.5,(6.5-30.5),24.744505494505493
Riverside,2015,Child vs. adult,0-17 years,16.6,(4.6-28.6),56.72054794520548
Sacramento,2015,Child vs. adult,0-17 years,9.2,(1.1-17.3),20.643835616438356
San Bernardino,2015,Child vs. adult,0-17 years,12.7,(2.7-22.7),22.624657534246577
San Diego,2015,Child vs. adult,0-17 years,11.9,(5.8-18.0),20.838461538461537
Santa Clara,2015,Child vs. adult,0-17 years,11.7,(0.6-22.7),20.96551724137931
Butte,2015,Child vs. adult,18+ years,16.6,(8.5-24.6),20.51260504201681
Calaveras,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),15.865013774104684
Colusa,2015,Child vs. adult,18+ years,17.0,(8.7-25.2),24.24561403508772
Contra Costa,2015,Child vs. adult,18+ years,19.1,(14.2-24.0),14.983333333333333
El Dorado,2015,Child vs. adult,18+ years,24.4,(12.6-36.2),15.656626506024097
Fresno,2015,Child vs. adult,18+ years,15.7,(9.2-22.2),34.895890410958906
Glenn,2015,Child vs. adult,18+ years,17.0,(8.7-25.2),26.20343839541547
Humboldt,2015,Child vs. adult,18+ years,18.8,(7.0-30.5),17.66573816155989
Imperial,2015,Child vs. adult,18+ years,11.9,(7.2-16.6),43.49315068493151
Inyo,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),15.301369863013699
Kern,2015,Child vs. adult,18+ years,19.9,(14.2-25.6),22.729805013927578
Kings,2015,Child vs. adult,18+ years,24.4,(14.5-34.3),47.885474860335194
Lake,2015,Child vs. adult,18+ years,24.0,(14.0-34.0),8.848484848484848
Los Angeles,2015,Child vs. adult,18+ years,12.7,(11.1-14.3),30.035616438356165
Madera,2015,Child vs. adult,18+ years,14.3,(6.7-21.8),31.877142857142857
Marin,2015,Child vs. adult,18+ years,11.3,(8.1-14.4),15.166666666666666
Mariposa,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),22.36705202312139
Mendocino,2015,Child vs. adult,18+ years,18.0,(10.4-25.6),13.325373134328359
Merced,2015,Child vs. adult,18+ years,17.4,(8.3-26.5),30.155172413793103
Mono,2015,Child vs. adult,18+ years,14.7,(7.6-21.7),15.90958904109589
Monterey,2015,Child vs. adult,18+ years,12.7,(6.4-19.0),23.812849162011172
Napa,2015,Child vs. adult,18+ years,18.9,(10.5-27.3),17.847457627118644
Orange,2015,Child vs. adult,18+ years,11.3,(8.0-14.5),24.744505494505493
Placer,2015,Child vs. adult,18+ years,17.0,(9.0-24.9),16.90566037735849
Riverside,2015,Child vs. adult,18+ years,15.2,(10.2-20.1),56.72054794520548
Sacramento,2015,Child vs. adult,18+ years,21.6,(16.3-26.9),20.643835616438356
San Benito,2015,Child vs. adult,18+ years,15.7,(6.4-25.0),16.490304709141274
San Bernardino,2015,Child vs. adult,18+ years,17.1,(13.4-20.9),22.624657534246577
San Diego,2015,Child vs. adult,18+ years,14.7,(12.7-16.6),20.838461538461537
San Francisco,2015,Child vs. adult,18+ years,15.2,(9.4-21.1),18.066666666666666
San Joaquin,2015,Child vs. adult,18+ years,17.8,(11.9-23.8),27.344444444444445
San Luis Obispo,2015,Child vs. adult,18+ years,13.6,(7.7-19.5),16.73972602739726
Santa Barbara,2015,Child vs. adult,18+ years,11.7,(4.5-18.8),22.602739726027398
Santa Clara,2015,Child vs. adult,18+ years,11.7,(8.3-15.1),20.96551724137931
Shasta,2015,Child vs. adult,18+ years,14.9,(8.7-21.0),12.852459016393443
Siskiyou,2015,Child vs. adult,18+ years,20.5,(8.7-32.3),13.266666666666667
Solano,2015,Child vs. adult,18+ years,24.9,(15.2-34.6),12.175438596491228
Sonoma,2015,Child vs. adult,18+ years,17.7,(9.2-26.1),9.449315068493151
Stanislaus,2015,Child vs. adult,18+ years,18.6,(11.9-25.2),26.192200557103064
Sutter,2015,Child vs. adult,18+ years,17.7,(7.4-28.0),21.997206703910614
Tehama,2015,Child vs. adult,18+ years,17.0,(8.7-25.2),20.43103448275862
Tulare,2015,Child vs. adult,18+ years,18.7,(12.6-24.8),50.15428571428571
Ventura,2015,Child vs. adult,18+ years,17.0,(12.1-21.8),21.243835616438357
Yolo,2015,Child vs. adult,18+ years,16.7,(5.1-28.3),21.307692307692307
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),14.983333333333333
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),34.895890410958906
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),43.49315068493151
Kern,2015,Age groups,5-17 years,31.3,(12.1-50.4),22.729805013927578
Kings,2015,Age groups,5-17 years,35.6,(11.8-59.3),47.885474860335194
Los Angeles,2015,Age groups,5-17 years,16.6,(10.0-23.2),30.035616438356165
Orange,2015,Age groups,5-17 years,22.1,(5.3-38.8),24.744505494505493
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),56.72054794520548
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),20.643835616438356
