County,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM2.5
Alameda,2015,Total population,All ages,14.3,(10.7-17.9),8.756451235616439
Calaveras,2015,Total population,All ages,14.2,(7.2-21.1),8.74821102739726
Colusa,2015,Total population,All ages,14.0,(7.4-20.5),6.62120518018018
Contra Costa,2015,Total population,All ages,20.7,(13.8-27.6),8.641483698630136
Fresno,2015,Total population,All ages,16.3,(10.7-22.0),14.261726484931506
Humboldt,2015,Total population,All ages,18.1,(7.4-28.8),8.714613568807339
Imperial,2015,Total population,All ages,15.1,(9.6-20.7),13.021600957627118
Inyo,2015,Total population,All ages,14.2,(7.2-21.1),6.69577442739726
Kern,2015,Total population,All ages,23.7,(16.4-31.0),5.045872164305949
Kings,2015,Total population,All ages,26.7,(16.5-36.8),16.153711515669517
Madera,2015,Total population,All ages,17.1,(9.2-25.1),13.979115011235955
Marin,2015,Total population,All ages,10.8,(7.8-13.7),8.92140096583851
Mendocino,2015,Total population,All ages,16.5,(8.7-24.4),8.558042604395604
Merced,2015,Total population,All ages,18.4,(9.5-27.3),12.983599224852073
Monterey,2015,Total population,All ages,12.4,(6.6-18.2),6.303995232876712
Napa,2015,Total population,All ages,20.1,(10.8-29.3),10.65357562849162
Placer,2015,Total population,All ages,14.8,(7.9-21.6),7.625223539325843
Riverside,2015,Total population,All ages,15.5,(11.0-20.1),11.093575002739726
Sacramento,2015,Total population,All ages,18.8,(14.0-23.6),8.97409721690141
San Benito,2015,Total population,All ages,13.4,(5.8-20.9),4.324325972144846
San Bernardino,2015,Total population,All ages,15.9,(12.7-19.2),16.0675322875817
San Diego,2015,Total population,All ages,14.1,(11.9-16.2),4.272026915068493
San Francisco,2015,Total population,All ages,15.0,(9.2-20.7),7.615420509803921
San Joaquin,2015,Total population,All ages,14.3,(9.1-19.5),12.877110868493151
San Luis Obispo,2015,Total population,All ages,11.1,(5.5-16.8),8.757536808219179
San Mateo,2015,Total population,All ages,18.0,(12.4-23.7),5.736798213888889
Santa Barbara,2015,Total population,All ages,13.0,(4.9-21.2),8.749527569863012
Santa Clara,2015,Total population,All ages,11.7,(8.3-15.1),7.2943773972602735
Santa Cruz,2015,Total population,All ages,19.2,(12.6-25.8),4.8950132853185595
Solano,2015,Total population,All ages,21.4,(13.1-29.8),9.648196609065156
Sonoma,2015,Total population,All ages,16.3,(8.6-24.1),6.6916830809248555
Stanislaus,2015,Total population,All ages,18.8,(11.4-26.2),10.962983348441925
Ventura,2015,Total population,All ages,15.1,(11.1-19.1),8.62871883561644
Alameda,2015,Child vs. adult,0-17 years,18.4,(6.2-30.6),8.756451235616439
Fresno,2015,Child vs. adult,0-17 years,18.1,(4.5-31.6),14.261726484931506
Imperial,2015,Child vs. adult,0-17 years,22.0,(7.8-36.2),13.021600957627118
Kern,2015,Child vs. adult,0-17 years,31.8,(16.7-46.8),5.045872164305949
Kings,2015,Child vs. adult,0-17 years,33.1,(9.3-57.0),16.153711515669517
Monterey,2015,Child vs. adult,0-17 years,11.7,(0.3-23.1),6.303995232876712
Riverside,2015,Child vs. adult,0-17 years,16.6,(4.6-28.6),11.093575002739726
Sacramento,2015,Child vs. adult,0-17 years,9.2,(1.1-17.3),8.97409721690141
