County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10,Avg SO2,Avg CO,Avg NO2,Avg OZONE,Avg PM2.5
Contra Costa,2015,Total population,All ages,20.7,(13.8-27.6),14.983333333333333,0.5267983863013699,0.3292134465753424,7.216358578082192,0.0272597178082191,8.641483698630136
Fresno,2015,Total population,All ages,16.3,(10.7-22.0),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Humboldt,2015,Total population,All ages,18.1,(7.4-28.8),17.66573816155989,0.1091975261707989,0.3320881845730027,2.9051957366863905,0.0223773671232876,8.714613568807339
Imperial,2015,Total population,All ages,15.1,(9.6-20.7),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Total population,All ages,15.5,(11.0-20.1),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Total population,All ages,18.8,(14.0-23.6),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Total population,All ages,15.9,(12.7-19.2),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Total population,All ages,14.1,(11.9-16.2),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Santa Barbara,2015,Total population,All ages,13.0,(4.9-21.2),22.6027397260274,0.0268212849315068,0.2498305863013698,3.123521367123288,0.0322826876712328,8.749527569863012
Santa Clara,2015,Total population,All ages,11.7,(8.3-15.1),20.96551724137931,0.2986403728813559,0.3747465616438356,13.029245139726028,0.0249079150684931,7.2943773972602735
Solano,2015,Total population,All ages,21.4,(13.1-29.8),12.175438596491228,0.6714244201680672,0.3982796138888889,8.213390466850829,0.025381506849315,9.648196609065156
Fresno,2015,Child vs. adult,0-17 years,18.1,(4.5-31.6),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Imperial,2015,Child vs. adult,0-17 years,22.0,(7.8-36.2),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Child vs. adult,0-17 years,16.6,(4.6-28.6),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Child vs. adult,0-17 years,9.2,(1.1-17.3),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Child vs. adult,0-17 years,12.7,(2.7-22.7),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Child vs. adult,0-17 years,11.9,(5.8-18.0),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Santa Clara,2015,Child vs. adult,0-17 years,11.7,(0.6-22.7),20.96551724137931,0.2986403728813559,0.3747465616438356,13.029245139726028,0.0249079150684931,7.2943773972602735
Contra Costa,2015,Child vs. adult,18+ years,19.1,(14.2-24.0),14.983333333333333,0.5267983863013699,0.3292134465753424,7.216358578082192,0.0272597178082191,8.641483698630136
Fresno,2015,Child vs. adult,18+ years,15.7,(9.2-22.2),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Humboldt,2015,Child vs. adult,18+ years,18.8,(7.0-30.5),17.66573816155989,0.1091975261707989,0.3320881845730027,2.9051957366863905,0.0223773671232876,8.714613568807339
Imperial,2015,Child vs. adult,18+ years,11.9,(7.2-16.6),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Child vs. adult,18+ years,15.2,(10.2-20.1),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Child vs. adult,18+ years,21.6,(16.3-26.9),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Child vs. adult,18+ years,17.1,(13.4-20.9),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Child vs. adult,18+ years,14.7,(12.7-16.6),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Santa Barbara,2015,Child vs. adult,18+ years,11.7,(4.5-18.8),22.6027397260274,0.0268212849315068,0.2498305863013698,3.123521367123288,0.0322826876712328,8.749527569863012
Santa Clara,2015,Child vs. adult,18+ years,11.7,(8.3-15.1),20.96551724137931,0.2986403728813559,0.3747465616438356,13.029245139726028,0.0249079150684931,7.2943773972602735
Solano,2015,Child vs. adult,18+ years,24.9,(15.2-34.6),12.175438596491228,0.6714244201680672,0.3982796138888889,8.213390466850829,0.025381506849315,9.648196609065156
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),14.983333333333333,0.5267983863013699,0.3292134465753424,7.216358578082192,0.0272597178082191,8.641483698630136
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Age groups,5-17 years,15.7,(2.6-28.8),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Age groups,5-17 years,15.6,(7.0-24.1),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Contra Costa,2015,Age groups,18-64 years,19.4,(12.9-26.0),14.983333333333333,0.5267983863013699,0.3292134465753424,7.216358578082192,0.0272597178082191,8.641483698630136
Fresno,2015,Age groups,18-64 years,15.9,(8.4-23.3),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Humboldt,2015,Age groups,18-64 years,20.5,(5.3-35.8),17.66573816155989,0.1091975261707989,0.3320881845730027,2.9051957366863905,0.0223773671232876,8.714613568807339
Imperial,2015,Age groups,18-64 years,11.7,(6.6-16.8),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Age groups,18-64 years,17.0,(10.9-23.0),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Age groups,18-64 years,22.8,(16.7-29.0),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Age groups,18-64 years,17.6,(12.7-22.5),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Age groups,18-64 years,15.1,(12.7-17.6),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Santa Barbara,2015,Age groups,18-64 years,11.7,(2.9-20.5),22.6027397260274,0.0268212849315068,0.2498305863013698,3.123521367123288,0.0322826876712328,8.749527569863012
Santa Clara,2015,Age groups,18-64 years,11.8,(7.8-15.9),20.96551724137931,0.2986403728813559,0.3747465616438356,13.029245139726028,0.0249079150684931,7.2943773972602735
Solano,2015,Age groups,18-64 years,25.8,(14.3-37.3),12.175438596491228,0.6714244201680672,0.3982796138888889,8.213390466850829,0.025381506849315,9.648196609065156
Contra Costa,2015,Age groups,65+ years,17.8,(10.5-25.1),14.983333333333333,0.5267983863013699,0.3292134465753424,7.216358578082192,0.0272597178082191,8.641483698630136
Fresno,2015,Age groups,65+ years,14.9,(5.8-23.9),34.895890410958906,0.5074178527777777,0.3439838602739726,10.952831567123289,0.0343945643835616,14.261726484931506
Humboldt,2015,Age groups,65+ years,13.6,(3.3-23.8),17.66573816155989,0.1091975261707989,0.3320881845730027,2.9051957366863905,0.0223773671232876,8.714613568807339
Imperial,2015,Age groups,65+ years,12.5,(2.4-22.6),43.49315068493151,0.7286934732394366,0.3607298232044199,11.397853205479452,0.0312530821917808,13.021600957627118
Riverside,2015,Age groups,65+ years,8.6,(4.1-13.2),56.72054794520548,0.2700411915492957,0.1435946,5.805835216438355,0.0454623753424657,11.093575002739726
Sacramento,2015,Age groups,65+ years,15.2,(6.3-24.1),20.64383561643836,1.816090694117647,0.2989591263736263,7.960994093150685,0.029724906849315,8.97409721690141
San Bernardino,2015,Age groups,65+ years,14.3,(5.5-23.1),22.624657534246577,0.3588539232876712,0.3078904136986302,15.50654499452055,0.0346991452054794,16.0675322875817
San Diego,2015,Age groups,65+ years,12.6,(8.7-16.5),20.838461538461537,0.1103710349206349,0.3950408767123288,9.959958364383562,0.0288873150684931,4.272026915068493
Santa Barbara,2015,Age groups,65+ years,11.5,(5.7-17.4),22.6027397260274,0.0268212849315068,0.2498305863013698,3.123521367123288,0.0322826876712328,8.749527569863012
Santa Clara,2015,Age groups,65+ years,11.2,(5.3-17.0),20.96551724137931,0.2986403728813559,0.3747465616438356,13.029245139726028,0.0249079150684931,7.2943773972602735
Solano,2015,Age groups,65+ years,20.6,(4.4-36.7),12.175438596491228,0.6714244201680672,0.3982796138888889,8.213390466850829,0.025381506849315,9.648196609065156
Contra Costa,2017,Total population,All ages,17.5,(12.8-22.1),16.868852459016395,0.6415774273972603,0.2911790821917808,6.577155934246576,0.0274483287671232,12.12643277260274
Fresno,2017,Total population,All ages,19.8,(13.7-25.8),38.36164383561644,0.625524530726257,0.344880904109589,11.834990432876712,0.0329404986301369,14.306137271232878
Los Angeles,2017,Total population,All ages,14.6,(13.0-16.2),31.767123287671232,0.378814394520548,0.4014487123287671,15.754025857534248,0.0354546958904109,14.51671570958904
Orange,2017,Total population,All ages,11.9,(9.0-14.8),26.74774774774775,0.1004974860335195,0.5080794410958904,14.784159476712327,0.0284792493150684,13.63019380453258
Riverside,2017,Total population,All ages,15.7,(9.6-21.7),43.30958904109589,0.2941632561983471,0.0501604657534246,3.8644557369863017,0.0453223561643835,7.227502361643836
Sacramento,2017,Total population,All ages,20.2,(15.2-25.1),21.797142857142852,1.8489786244541488,0.3282036243093922,7.612059956164384,0.0292502301369863,7.630320423398328
San Bernardino,2017,Total population,All ages,15.4,(11.9-19.0),25.175342465753424,0.7231546164383562,0.2249346630136986,14.816184750684933,0.0340240630136986,15.927017073972603
San Diego,2017,Total population,All ages,14.6,(12.2-16.9),22.16030534351145,0.1125408662790697,0.6233071452054795,8.448794312328767,0.0293756904109589,5.684045816155988
Santa Barbara,2017,Total population,All ages,15.2,(3.7-26.7),23.421917808219177,0.0249204739726027,0.1999236438356164,3.102996852054795,0.0320940493150684,10.732439230136986
Santa Clara,2017,Total population,All ages,14.8,(11.5-18.1),20.62962962962963,0.2055241107784431,0.3585921589041095,12.394777128767124,0.0259077561643835,5.968408071232877
Solano,2017,Total population,All ages,22.6,(11.0-34.1),17.4,0.8083825464788732,0.3995891690140845,8.000091278089888,0.0253500520547945,11.58084198611111
Fresno,2017,Child vs. adult,0-17 years,18.0,(3.3-32.8),38.36164383561644,0.625524530726257,0.344880904109589,11.834990432876712,0.0329404986301369,14.306137271232878
Los Angeles,2017,Child vs. adult,0-17 years,14.8,(10.2-19.3),31.767123287671232,0.378814394520548,0.4014487123287671,15.754025857534248,0.0354546958904109,14.51671570958904
Orange,2017,Child vs. adult,0-17 years,10.4,(2.2-18.5),26.74774774774775,0.1004974860335195,0.5080794410958904,14.784159476712327,0.0284792493150684,13.63019380453258
Riverside,2017,Child vs. adult,0-17 years,16.1,(7.6-24.5),43.30958904109589,0.2941632561983471,0.0501604657534246,3.8644557369863017,0.0453223561643835,7.227502361643836
Sacramento,2017,Child vs. adult,0-17 years,14.2,(2.9-25.6),21.797142857142852,1.8489786244541488,0.3282036243093922,7.612059956164384,0.0292502301369863,7.630320423398328
San Bernardino,2017,Child vs. adult,0-17 years,13.9,(2.3-25.4),25.175342465753424,0.7231546164383562,0.2249346630136986,14.816184750684933,0.0340240630136986,15.927017073972603
San Diego,2017,Child vs. adult,0-17 years,10.7,(5.0-16.4),22.16030534351145,0.1125408662790697,0.6233071452054795,8.448794312328767,0.0293756904109589,5.684045816155988
Santa Clara,2017,Child vs. adult,0-17 years,13.5,(3.6-23.4),20.62962962962963,0.2055241107784431,0.3585921589041095,12.394777128767124,0.0259077561643835,5.968408071232877
Contra Costa,2017,Child vs. adult,18+ years,19.7,(14.9-24.6),16.868852459016395,0.6415774273972603,0.2911790821917808,6.577155934246576,0.0274483287671232,12.12643277260274
Fresno,2017,Child vs. adult,18+ years,20.5,(14.7-26.2),38.36164383561644,0.625524530726257,0.344880904109589,11.834990432876712,0.0329404986301369,14.306137271232878
Los Angeles,2017,Child vs. adult,18+ years,14.5,(13.2-15.9),31.767123287671232,0.378814394520548,0.4014487123287671,15.754025857534248,0.0354546958904109,14.51671570958904
