County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10,Avg SO2,Avg CO,Avg NO2,Avg OZONE,Avg PM2.5
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),14.98333333,0.526798386,0.329213447,7.216358578,0.027259718,8.641483699
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),34.89589041,0.507417853,0.34398386,10.95283157,0.034394564,14.26172648
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),43.49315068,0.728693473,0.360729823,11.39785321,0.031253082,13.02160096
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),56.72054795,0.270041192,0.1435946,5.805835216,0.045462375,11.093575
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),20.64383562,1.816090694,0.298959126,7.960994093,0.029724907,8.974097217
San Bernardino,2015,Age groups,5-17 years,15.7,(2.6-28.8),22.62465753,0.358853923,0.307890414,15.50654499,0.034699145,16.06753229
San Diego,2015,Age groups,5-17 years,15.6,(7.0-24.1),20.83846154,0.110371035,0.395040877,9.959958364,0.028887315,4.272026915
Contra Costa,2015,Age groups,18-64 years,19.4,(12.9-26.0),14.98333333,0.526798386,0.329213447,7.216358578,0.027259718,8.641483699
Fresno,2015,Age groups,18-64 years,15.9,(8.4-23.3),34.89589041,0.507417853,0.34398386,10.95283157,0.034394564,14.26172648
Humboldt,2015,Age groups,18-64 years,20.5,(5.3-35.8),17.66573816,0.109197526,0.332088185,2.905195737,0.022377367,8.714613569
Imperial,2015,Age groups,18-64 years,11.7,(6.6-16.8),43.49315068,0.728693473,0.360729823,11.39785321,0.031253082,13.02160096
Riverside,2015,Age groups,18-64 years,17.0,(10.9-23.0),56.72054795,0.270041192,0.1435946,5.805835216,0.045462375,11.093575
Sacramento,2015,Age groups,18-64 years,22.8,(16.7-29.0),20.64383562,1.816090694,0.298959126,7.960994093,0.029724907,8.974097217
San Bernardino,2015,Age groups,18-64 years,17.6,(12.7-22.5),22.62465753,0.358853923,0.307890414,15.50654499,0.034699145,16.06753229
San Diego,2015,Age groups,18-64 years,15.1,(12.7-17.6),20.83846154,0.110371035,0.395040877,9.959958364,0.028887315,4.272026915
Santa Barbara,2015,Age groups,18-64 years,11.7,(2.9-20.5),22.60273973,0.026821285,0.249830586,3.123521367,0.032282688,8.74952757
Santa Clara,2015,Age groups,18-64 years,11.8,(7.8-15.9),20.96551724,0.298640373,0.374746562,13.02924514,0.024907915,7.294377397
Solano,2015,Age groups,18-64 years,25.8,(14.3-37.3),12.1754386,0.67142442,0.398279614,8.213390467,0.025381507,9.648196609
Contra Costa,2015,Age groups,65+ years,17.8,(10.5-25.1),14.98333333,0.526798386,0.329213447,7.216358578,0.027259718,8.641483699
Fresno,2015,Age groups,65+ years,14.9,(5.8-23.9),34.89589041,0.507417853,0.34398386,10.95283157,0.034394564,14.26172648
Humboldt,2015,Age groups,65+ years,13.6,(3.3-23.8),17.66573816,0.109197526,0.332088185,2.905195737,0.022377367,8.714613569
Imperial,2015,Age groups,65+ years,12.5,(2.4-22.6),43.49315068,0.728693473,0.360729823,11.39785321,0.031253082,13.02160096
Riverside,2015,Age groups,65+ years,8.6,(4.1-13.2),56.72054795,0.270041192,0.1435946,5.805835216,0.045462375,11.093575
Sacramento,2015,Age groups,65+ years,15.2,(6.3-24.1),20.64383562,1.816090694,0.298959126,7.960994093,0.029724907,8.974097217
San Bernardino,2015,Age groups,65+ years,14.3,(5.5-23.1),22.62465753,0.358853923,0.307890414,15.50654499,0.034699145,16.06753229
San Diego,2015,Age groups,65+ years,12.6,(8.7-16.5),20.83846154,0.110371035,0.395040877,9.959958364,0.028887315,4.272026915
Santa Barbara,2015,Age groups,65+ years,11.5,(5.7-17.4),22.60273973,0.026821285,0.249830586,3.123521367,0.032282688,8.74952757
Santa Clara,2015,Age groups,65+ years,11.2,(5.3-17.0),20.96551724,0.298640373,0.374746562,13.02924514,0.024907915,7.294377397
Solano,2015,Age groups,65+ years,20.6,(4.4-36.7),12.1754386,0.67142442,0.398279614,8.213390467,0.025381507,9.648196609
Los Angeles,2017,Age groups,0-4 years,6.5,(1.2-11.7),31.76712329,0.378814395,0.401448712,15.75402586,0.035454696,14.51671571
Fresno,2017,Age groups,5-17 years,24.1,(4.7-43.6),38.36164384,0.625524531,0.344880904,11.83499043,0.032940499,14.30613727
Los Angeles,2017,Age groups,5-17 years,17.9,(12.3-23.5),31.76712329,0.378814395,0.401448712,15.75402586,0.035454696,14.51671571
Orange,2017,Age groups,5-17 years,13.6,(2.5-24.8),26.74774775,0.100497486,0.508079441,14.78415948,0.028479249,13.6301938
Riverside,2017,Age groups,5-17 years,20.5,(8.4-32.5),43.30958904,0.294163256,0.050160466,3.864455737,0.045322356,7.227502362
Sacramento,2017,Age groups,5-17 years,17.9,(3.0-32.7),21.79714286,1.848978624,0.328203624,7.612059956,0.02925023,7.630320423
